MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
NonVoidMethodCallMutator,2,184,100,0,9,4,5,5,none,1,0,0
MemberVariableMutator,2,181,104,1,13,9,4,1577,none,2,0,1
BooleanFalseReturnValsMutator,6,172,347,1,9,8,1,282,none,3,0,1
BooleanTrueReturnValsMutator,6,172,347,1,9,8,1,282,none,3,0,1
NonVoidMethodCallMutator,2,185,347,0,9,7,2,282,none,3,0,1
ReturnValsMutator,6,172,347,1,9,8,1,282,none,3,0,1
BooleanFalseReturnValsMutator,6,172,370,1,9,8,1,269,none,3,0,1
BooleanTrueReturnValsMutator,6,172,370,1,9,8,1,269,none,3,0,1
NonVoidMethodCallMutator,2,185,370,0,9,7,2,269,none,3,0,1
ReturnValsMutator,6,172,370,1,9,8,1,269,none,3,0,1
NonVoidMethodCallMutator,2,184,722,0,12,9,3,51,none,5,0,1
NonVoidMethodCallMutator,2,182,722,1,12,10,2,51,none,5,0,1
NullReturnValsMutator,4,176,722,2,12,11,1,51,none,5,0,1
ReturnValsMutator,4,176,722,2,12,11,1,51,none,5,0,1
NonVoidMethodCallMutator,2,184,409,0,12,9,3,51,none,5,0,1
NonVoidMethodCallMutator,2,182,409,1,12,10,2,51,none,5,0,1
NullReturnValsMutator,4,176,409,2,12,11,1,51,none,5,0,1
ReturnValsMutator,4,176,409,2,12,11,1,51,none,5,0,1
ConditionalsBoundaryMutator,18,162,686,4,40,21,19,27,[,4,0,1
InlineConstantMutator,10,3,686,2,40,14,26,27,[,4,0,1
NegateConditionalsMutator,18,162,686,4,40,21,19,27,[,4,0,1
NonVoidMethodCallMutator,2,184,684,0,40,4,36,27,[,4,0,1
NonVoidMethodCallMutator,2,182,685,1,40,9,31,27,[,4,0,1
NonVoidMethodCallMutator,2,182,686,3,40,20,20,27,[,4,0,1
NonVoidMethodCallMutator,2,182,687,5,40,28,12,27,[,4,0,1
NullReturnValsMutator,4,176,689,7,40,39,1,27,[,4,0,1
RemoveConditionalMutator_ORDER_ELSE,18,162,686,4,40,21,19,27,[,4,0,1
RemoveConditionalMutator_ORDER_IF,18,162,686,4,40,21,19,27,[,4,0,1
ReturnValsMutator,4,176,689,7,40,39,1,27,[,4,0,1
ABSMutator,10,21,686,3,40,18,22,27,[,4,0,1
ABSMutator,10,21,687,5,40,25,15,27,[,4,0,1
ABSMutator,10,21,687,5,40,27,13,27,[,4,0,1
CRCR1Mutator,10,3,686,2,40,14,26,27,[,4,0,1
CRCR3Mutator,10,3,686,2,40,14,26,27,[,4,0,1
CRCR5Mutator,10,3,686,2,40,14,26,27,[,4,0,1
CRCR6Mutator,10,3,686,2,40,14,26,27,[,4,0,1
ROR1Mutator,18,162,686,4,40,21,19,27,[,4,0,1
ROR2Mutator,18,162,686,4,40,21,19,27,[,4,0,1
ROR3Mutator,18,162,686,4,40,21,19,27,[,4,0,1
ROR4Mutator,18,162,686,4,40,21,19,27,[,4,0,0
ROR5Mutator,18,162,686,4,40,21,19,27,[,4,0,1
UOI1Mutator,10,21,686,3,40,18,22,27,[,4,0,1
UOI1Mutator,10,21,687,5,40,25,15,27,[,4,0,1
UOI1Mutator,10,21,687,5,40,27,13,27,[,4,0,1
UOI2Mutator,10,21,686,3,40,18,22,27,[,4,0,1
UOI2Mutator,10,21,687,5,40,25,15,27,[,4,0,1
UOI2Mutator,10,21,687,5,40,27,13,27,[,4,0,1
UOI3Mutator,10,21,686,3,40,18,22,27,[,4,0,1
UOI3Mutator,10,21,687,5,40,25,15,27,[,4,0,1
UOI3Mutator,10,21,687,5,40,27,13,27,[,4,0,1
UOI4Mutator,10,21,686,3,40,18,22,27,[,4,0,1
UOI4Mutator,10,21,687,5,40,25,15,27,[,4,0,1
UOI4Mutator,10,21,687,5,40,27,13,27,[,4,0,1
