MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ArgumentPropagationMutator,4,184,151,1,62,31,31,32,none,1,0,1
ConstructorCallMutator,2,183,185,2,62,54,8,32,none,1,0,1
InlineConstantMutator,14,16,113,1,62,8,54,32,none,1,0,0
InlineConstantMutator,12,4,122,1,62,13,49,32,none,1,0,1
InlineConstantMutator,14,6,132,1,62,18,44,32,none,1,0,1
NonVoidMethodCallMutator,4,184,151,1,62,31,31,32,none,1,0,1
MemberVariableMutator,2,181,113,1,62,9,53,32,none,1,0,1
MemberVariableMutator,2,181,122,1,62,14,48,32,none,1,0,1
MemberVariableMutator,2,181,132,1,62,19,43,32,none,1,0,1
MemberVariableMutator,2,181,141,1,62,24,38,32,none,1,0,1
MemberVariableMutator,2,181,151,2,62,32,30,32,none,1,0,1
MemberVariableMutator,2,181,159,2,62,37,25,32,none,1,0,1
MemberVariableMutator,2,181,168,2,62,42,20,32,none,1,0,1
MemberVariableMutator,2,181,177,2,62,47,15,32,none,1,0,1
MemberVariableMutator,2,181,185,3,62,55,7,32,none,1,0,1
MemberVariableMutator,2,181,188,3,62,60,2,32,none,1,0,1
CRCR1Mutator,14,16,113,1,62,8,54,32,none,1,0,1
CRCR1Mutator,14,6,132,1,62,18,44,32,none,1,0,1
CRCR2Mutator,14,16,113,1,62,8,54,32,none,1,0,1
CRCR2Mutator,12,4,122,1,62,13,49,32,none,1,0,1
CRCR2Mutator,14,6,132,1,62,18,44,32,none,1,0,1
CRCR3Mutator,14,16,113,1,62,8,54,32,none,1,0,0
CRCR3Mutator,12,4,122,1,62,13,49,32,none,1,0,1
CRCR3Mutator,14,6,132,1,62,18,44,32,none,1,0,1
CRCR4Mutator,14,16,113,1,62,8,54,32,none,1,0,1
CRCR4Mutator,12,4,122,1,62,13,49,32,none,1,0,1
CRCR4Mutator,14,6,132,1,62,18,44,32,none,1,0,1
CRCR5Mutator,14,16,113,1,62,8,54,32,none,1,0,0
CRCR5Mutator,12,4,122,1,62,13,49,32,none,1,0,1
CRCR5Mutator,14,6,132,1,62,18,44,32,none,1,0,1
CRCR6Mutator,14,16,113,1,62,8,54,32,none,1,0,0
CRCR6Mutator,12,4,122,1,62,13,49,32,none,1,0,1
CRCR6Mutator,14,6,132,1,62,18,44,32,none,1,0,1
NegateConditionalsMutator,16,154,683,0,93,4,89,12,none,4,0,1
NegateConditionalsMutator,8,198,688,4,93,15,78,12,none,4,0,1
NegateConditionalsMutator,16,153,698,14,93,39,54,12,none,4,0,1
NegateConditionalsMutator,8,198,698,16,93,42,51,4,none,4,0,1
NegateConditionalsMutator,16,153,698,19,93,46,47,2,none,4,0,1
NegateConditionalsMutator,8,199,700,21,93,52,41,3,none,4,0,1
NegateConditionalsMutator,8,198,701,27,93,68,25,3,none,4,0,1
NegateConditionalsMutator,16,154,705,34,93,83,10,12,none,4,0,1
NonVoidMethodCallMutator,4,182,685,1,93,9,84,8,none,4,0,1
NonVoidMethodCallMutator,2,182,688,3,93,14,79,12,none,4,0,1
NonVoidMethodCallMutator,4,182,690,5,93,20,73,12,none,4,0,1
NonVoidMethodCallMutator,2,182,690,6,93,22,71,12,none,4,0,1
NonVoidMethodCallMutator,4,182,690,7,93,23,70,12,none,4,0,1
NonVoidMethodCallMutator,4,182,694,9,93,30,63,4,none,4,0,1
NonVoidMethodCallMutator,2,182,694,10,93,32,61,4,none,4,0,1
NonVoidMethodCallMutator,4,182,694,11,93,33,60,4,none,4,0,1
NonVoidMethodCallMutator,2,182,698,13,93,38,55,12,none,4,0,1
NonVoidMethodCallMutator,2,182,698,15,93,41,52,4,none,4,0,1
NonVoidMethodCallMutator,2,182,698,17,93,44,49,2,none,4,0,1
NonVoidMethodCallMutator,2,182,698,18,93,45,48,2,none,4,0,1
NonVoidMethodCallMutator,2,182,700,20,93,51,42,3,none,4,0,1
NonVoidMethodCallMutator,4,182,700,24,93,59,34,3,none,4,0,1
NonVoidMethodCallMutator,4,182,701,25,93,65,28,3,none,4,0,1
NonVoidMethodCallMutator,2,182,701,26,93,67,26,3,none,4,0,1
NonVoidMethodCallMutator,2,182,701,28,93,70,23,1,none,4,0,1
NonVoidMethodCallMutator,2,182,701,30,93,74,19,3,none,4,0,1
NonVoidMethodCallMutator,4,182,701,31,93,76,17,3,none,4,0,1
