MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
NegateConditionalsMutator,8,199,694,2,109,66,43,177,none,18,0,1
NonVoidMethodCallMutator,2,183,693,1,109,60,49,177,none,18,0,1
NonVoidMethodCallMutator,2,182,694,4,109,72,37,44,none,18,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,694,2,109,66,43,177,none,18,0,1
RemoveConditionalMutator_EQUAL_IF,8,199,694,2,109,66,43,177,none,18,0,1
VoidMethodCallMutator,2,183,700,6,109,105,4,177,none,18,0,1
MemberVariableMutator,2,181,683,1,109,9,100,177,none,18,0,1
MemberVariableMutator,2,181,684,1,109,14,95,177,none,18,0,1
MemberVariableMutator,2,181,685,1,109,19,90,177,none,18,0,1
MemberVariableMutator,2,181,686,1,109,24,85,177,none,18,0,1
MemberVariableMutator,2,181,687,1,109,29,80,177,none,18,0,1
MemberVariableMutator,2,181,688,1,109,34,75,177,none,18,0,1
MemberVariableMutator,2,181,689,1,109,39,70,177,none,18,0,1
MemberVariableMutator,2,181,690,1,109,44,65,177,none,18,0,1
MemberVariableMutator,2,181,691,1,109,49,60,177,none,18,0,1
MemberVariableMutator,2,181,692,1,109,54,55,177,none,18,0,1
MemberVariableMutator,2,181,693,2,109,61,48,177,none,18,0,1
MemberVariableMutator,2,181,694,6,109,76,33,177,none,18,0,1
MemberVariableMutator,2,181,695,6,109,81,28,177,none,18,0,1
MemberVariableMutator,2,181,696,6,109,86,23,177,none,18,0,1
MemberVariableMutator,2,181,697,6,109,91,18,177,none,18,0,1
MemberVariableMutator,2,181,698,6,109,96,13,177,none,18,0,1
MemberVariableMutator,2,181,699,6,109,101,8,177,none,18,0,1
ABSMutator,10,21,683,1,109,8,101,177,none,18,0,1
ABSMutator,10,21,688,1,109,33,76,177,none,18,0,0
ABSMutator,10,21,689,1,109,38,71,177,none,18,0,0
ABSMutator,10,21,690,1,109,43,66,177,none,18,0,0
ABSMutator,10,21,695,6,109,80,29,177,none,18,0,0
ABSMutator,10,21,696,6,109,85,24,177,none,18,0,0
ABSMutator,10,21,697,6,109,90,19,177,none,18,0,0
ABSMutator,10,21,698,6,109,95,14,177,none,18,0,0
ABSMutator,10,21,699,6,109,100,9,177,none,18,0,0
ROR5Mutator,8,199,694,2,109,66,43,177,none,18,0,1
UOI1Mutator,10,21,683,1,109,8,101,177,none,18,0,0
UOI1Mutator,10,21,688,1,109,33,76,177,none,18,0,0
UOI1Mutator,10,21,689,1,109,38,71,177,none,18,0,0
UOI1Mutator,10,21,690,1,109,43,66,177,none,18,0,0
UOI1Mutator,10,21,695,6,109,80,29,177,none,18,0,1
UOI1Mutator,10,21,696,6,109,85,24,177,none,18,0,1
UOI1Mutator,10,21,697,6,109,90,19,177,none,18,0,1
UOI1Mutator,10,21,698,6,109,95,14,177,none,18,0,0
UOI1Mutator,10,21,699,6,109,100,9,177,none,18,0,0
UOI2Mutator,10,21,683,1,109,8,101,177,none,18,0,0
UOI2Mutator,10,21,688,1,109,33,76,177,none,18,0,0
UOI2Mutator,10,21,689,1,109,38,71,177,none,18,0,0
UOI2Mutator,10,21,690,1,109,43,66,177,none,18,0,0
UOI2Mutator,10,21,695,6,109,80,29,177,none,18,0,0
UOI2Mutator,10,21,696,6,109,85,24,177,none,18,0,0
UOI2Mutator,10,21,697,6,109,90,19,177,none,18,0,0
UOI2Mutator,10,21,698,6,109,95,14,177,none,18,0,0
UOI2Mutator,10,21,699,6,109,100,9,177,none,18,0,0
UOI3Mutator,10,21,683,1,109,8,101,177,none,18,0,1
UOI3Mutator,10,21,688,1,109,33,76,177,none,18,0,1
UOI3Mutator,10,21,689,1,109,38,71,177,none,18,0,1
UOI3Mutator,10,21,690,1,109,43,66,177,none,18,0,1
UOI3Mutator,10,21,695,6,109,80,29,177,none,18,0,1
UOI3Mutator,10,21,696,6,109,85,24,177,none,18,0,1
UOI3Mutator,10,21,697,6,109,90,19,177,none,18,0,1
UOI3Mutator,10,21,698,6,109,95,14,177,none,18,0,1
UOI3Mutator,10,21,699,6,109,100,9,177,none,18,0,1
UOI4Mutator,10,21,683,1,109,8,101,177,none,18,0,1
UOI4Mutator,10,21,688,1,109,33,76,177,none,18,0,1
UOI4Mutator,10,21,689,1,109,38,71,177,none,18,0,1
UOI4Mutator,10,21,690,1,109,43,66,177,none,18,0,1
UOI4Mutator,10,21,695,6,109,80,29,177,none,18,0,1
UOI4Mutator,10,21,696,6,109,85,24,177,none,18,0,1
UOI4Mutator,10,21,697,6,109,90,19,177,none,18,0,1
UOI4Mutator,10,21,698,6,109,95,14,177,none,18,0,1
UOI4Mutator,10,21,699,6,109,100,9,177,none,18,0,1
BooleanFalseReturnValsMutator,6,172,706,1,254,9,245,9,none,3,0,1
BooleanFalseReturnValsMutator,6,172,769,51,254,253,1,4,none,3,0,1
BooleanTrueReturnValsMutator,6,172,709,3,254,18,236,2,none,3,0,1
BooleanTrueReturnValsMutator,6,172,712,7,254,30,224,1,none,3,0,1
BooleanTrueReturnValsMutator,6,172,717,9,254,47,207,2,none,3,0,1
BooleanTrueReturnValsMutator,6,172,720,11,254,59,195,1,none,3,0,1
BooleanTrueReturnValsMutator,6,172,724,14,254,74,180,1,none,3,0,1
BooleanTrueReturnValsMutator,6,172,727,17,254,87,167,2,none,3,0,1
BooleanTrueReturnValsMutator,6,172,731,20,254,102,152,1,none,3,0,1
BooleanTrueReturnValsMutator,6,172,734,23,254,115,139,2,none,3,0,1
BooleanTrueReturnValsMutator,6,172,738,26,254,130,124,0,none,3,0,0
BooleanTrueReturnValsMutator,6,172,741,29,254,143,111,1,none,3,0,1
