MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ArgumentPropagationMutator,4,184,74,0,13,8,5,9,none,3,0,1
NonVoidMethodCallMutator,4,184,74,0,13,8,5,9,none,3,0,1
ABSMutator,10,22,74,0,13,4,9,9,none,3,0,1
ABSMutator,10,22,74,0,13,5,8,9,none,3,0,1
ABSMutator,10,22,74,0,13,6,7,9,none,3,0,1
ABSMutator,10,22,74,0,13,7,6,9,none,3,0,1
UOI1Mutator,10,22,74,0,13,4,9,9,none,3,0,0
UOI1Mutator,10,22,74,0,13,5,8,9,none,3,0,1
UOI1Mutator,10,22,74,0,13,6,7,9,none,3,0,0
UOI1Mutator,10,22,74,0,13,7,6,9,none,3,0,0
UOI2Mutator,10,22,74,0,13,4,9,9,none,3,0,0
UOI2Mutator,10,22,74,0,13,5,8,9,none,3,0,0
UOI2Mutator,10,22,74,0,13,6,7,9,none,3,0,0
UOI2Mutator,10,22,74,0,13,7,6,9,none,3,0,0
UOI3Mutator,10,22,74,0,13,4,9,9,none,3,0,1
UOI3Mutator,10,22,74,0,13,5,8,9,none,3,0,1
UOI3Mutator,10,22,74,0,13,6,7,9,none,3,0,0
UOI3Mutator,10,22,74,0,13,7,6,9,none,3,0,1
UOI4Mutator,10,22,74,0,13,4,9,9,none,3,0,1
UOI4Mutator,10,22,74,0,13,5,8,9,none,3,0,1
UOI4Mutator,10,22,74,0,13,6,7,9,none,3,0,0
UOI4Mutator,10,22,74,0,13,7,6,9,none,3,0,0
ArgumentPropagationMutator,4,184,84,2,59,12,47,12,none,4,0,1
ArgumentPropagationMutator,4,184,84,3,59,16,43,12,none,4,0,1
ConstructorCallMutator,2,183,85,5,59,25,34,1,none,4,0,1
ConstructorCallMutator,2,183,85,13,59,39,20,1,none,4,0,1
MathMutator,14,101,84,3,59,15,44,12,none,4,0,1
NegateConditionalsMutator,16,153,84,1,59,10,49,12,none,4,0,1
NegateConditionalsMutator,16,153,84,4,59,18,41,12,none,4,0,1
NonVoidMethodCallMutator,4,184,84,2,59,12,47,12,none,4,0,1
NonVoidMethodCallMutator,4,184,84,3,59,16,43,12,none,4,0,1
NonVoidMethodCallMutator,4,182,85,6,59,27,32,1,none,4,0,1
NonVoidMethodCallMutator,4,182,85,7,59,29,30,1,none,4,0,1
NonVoidMethodCallMutator,4,182,85,8,59,31,28,1,none,4,0,1
NonVoidMethodCallMutator,4,182,85,9,59,33,26,1,none,4,0,1
NonVoidMethodCallMutator,4,182,85,10,59,35,24,1,none,4,0,1
NonVoidMethodCallMutator,4,182,85,11,59,37,22,1,none,4,0,1
NonVoidMethodCallMutator,2,182,85,12,59,38,21,1,none,4,0,0
RemoveConditionalMutator_EQUAL_ELSE,16,153,84,1,59,10,49,12,none,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,84,4,59,18,41,12,none,4,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,84,1,59,10,49,12,none,4,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,84,4,59,18,41,12,none,4,0,1
MemberVariableMutator,2,181,87,15,59,45,14,12,none,4,0,1
MemberVariableMutator,2,181,88,15,59,50,9,12,none,4,0,1
MemberVariableMutator,2,181,89,15,59,55,4,12,none,4,0,1
NakedReceiverMutator,4,182,85,6,59,27,32,1,none,4,0,0
NakedReceiverMutator,4,182,85,7,59,29,30,1,none,4,0,0
NakedReceiverMutator,4,182,85,8,59,31,28,1,none,4,0,0
NakedReceiverMutator,4,182,85,9,59,33,26,1,none,4,0,0
NakedReceiverMutator,4,182,85,10,59,35,24,1,none,4,0,0
NakedReceiverMutator,4,182,85,11,59,37,22,1,none,4,0,0
ABSMutator,10,22,84,1,59,7,52,12,none,4,0,1
ABSMutator,10,22,84,1,59,8,51,12,none,4,0,1
