MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,18,14,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,18,14,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,18,6,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,17,13,4,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,17,13,4,0,none,0,1,0
VoidMethodCallMutator,2,185,0,0,17,5,12,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,11,10,1,0,none,0,1,0
BooleanFalseReturnValsMutator,6,172,0,1,11,4,7,0,none,0,1,0
BooleanTrueReturnValsMutator,6,172,0,1,11,4,7,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,11,3,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,11,10,1,0,none,0,1,0
ReturnValsMutator,6,172,0,1,11,4,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,12,11,1,0,none,0,1,0
BooleanFalseReturnValsMutator,6,172,0,1,12,5,7,0,none,0,1,0
BooleanTrueReturnValsMutator,6,172,0,1,12,5,7,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,12,4,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,12,11,1,0,none,0,1,0
ReturnValsMutator,6,172,0,1,12,5,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
BooleanFalseReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
BooleanTrueReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
ReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
ABSMutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,13,4,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
BooleanFalseReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
BooleanTrueReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
ReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
BooleanFalseReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
BooleanTrueReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
ReturnValsMutator,6,172,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,11,10,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,11,3,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,11,10,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,11,4,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,11,4,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,13,6,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
PrimitiveReturnsMutator,4,173,0,1,13,6,7,0,none,0,1,0
ReturnValsMutator,4,173,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,14,13,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,14,6,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,14,13,1,0,none,0,1,0
PrimitiveReturnsMutator,4,173,0,1,14,7,7,0,none,0,1,0
ReturnValsMutator,4,173,0,1,14,7,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,15,14,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,15,7,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,15,14,1,0,none,0,1,0
PrimitiveReturnsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ReturnValsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ABSMutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,15,6,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,15,14,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,15,7,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,15,14,1,0,none,0,1,0
PrimitiveReturnsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ReturnValsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,15,14,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,15,7,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,15,14,1,0,none,0,1,0
PrimitiveReturnsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ReturnValsMutator,4,173,0,1,15,8,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,11,10,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,11,3,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,11,10,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,11,4,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,11,4,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,12,11,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,12,4,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,12,11,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,12,5,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,12,5,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,11,10,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,11,3,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,11,10,1,0,none,0,1,0
PrimitiveReturnsMutator,4,172,0,1,11,4,7,0,none,0,1,0
ReturnValsMutator,4,172,0,1,11,4,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,12,11,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,12,4,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,12,11,1,0,none,0,1,0
PrimitiveReturnsMutator,4,172,0,1,12,5,7,0,none,0,1,0
ReturnValsMutator,4,172,0,1,12,5,7,0,none,0,1,0
ArgumentPropagationMutator,4,183,0,0,13,5,8,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
NonVoidMethodCallMutator,4,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
PrimitiveReturnsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ReturnValsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ABSMutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,13,4,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,13,4,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
PrimitiveReturnsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ReturnValsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,13,12,1,0,none,0,1,0
NonVoidMethodCallMutator,2,183,0,0,13,5,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,13,12,1,0,none,0,1,0
PrimitiveReturnsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ReturnValsMutator,4,172,0,1,13,6,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,14,13,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,14,6,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,14,13,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ABSMutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,14,5,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,14,13,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,14,6,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,14,13,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,14,13,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,14,6,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,14,13,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
ABSMutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,14,5,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,14,5,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,15,14,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,15,7,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,15,14,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,15,8,7,0,none,0,1,0
ReturnValsMutator,4,176,0,1,15,8,7,0,none,0,1,0
ABSMutator,10,21,0,0,15,5,10,0,none,0,1,0
ABSMutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI1Mutator,10,21,0,0,15,5,10,0,none,0,1,0
UOI1Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI2Mutator,10,21,0,0,15,5,10,0,none,0,1,0
UOI2Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI3Mutator,10,21,0,0,15,5,10,0,none,0,1,0
UOI3Mutator,10,21,0,0,15,6,9,0,none,0,1,0
UOI4Mutator,10,21,0,0,15,5,10,0,none,0,1,0
UOI4Mutator,10,21,0,0,15,6,9,0,none,0,1,0
ArgumentPropagationMutator,4,182,0,2,14,13,1,0,none,0,1,0
NonVoidMethodCallMutator,2,185,0,0,14,6,8,0,none,0,1,0
NonVoidMethodCallMutator,4,182,0,2,14,13,1,0,none,0,1,0
NullReturnValsMutator,4,176,0,1,14,7,7,0,none,0,1,0
