MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ArgumentPropagationMutator,4,184,492,4,89,22,67,1,none,5,0,1
ArgumentPropagationMutator,4,184,499,10,89,46,43,1,none,5,0,0
ArgumentPropagationMutator,4,184,503,19,89,72,17,1,none,5,0,1
ArgumentPropagationMutator,4,184,505,26,89,87,2,1,none,5,0,1
ConditionalsBoundaryMutator,18,156,488,1,89,9,80,1,none,5,0,1
ConditionalsBoundaryMutator,18,158,491,3,89,18,71,1,none,5,0,1
ConstructorCallMutator,2,183,503,15,89,66,23,1,none,5,0,1
ConstructorCallMutator,2,183,505,21,89,79,10,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,489,2,89,13,76,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,492,5,89,23,66,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,495,7,89,32,57,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,499,11,89,47,42,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,503,20,89,73,16,1,none,5,0,1
EmptyObjectReturnValsMutator,4,176,505,27,89,88,1,1,none,5,0,1
InlineConstantMutator,12,4,501,12,89,53,36,1,none,5,0,1
InlineConstantMutator,14,16,505,23,89,82,7,1,none,5,0,1
MathMutator,14,100,501,12,89,54,35,1,none,5,0,1
NegateConditionalsMutator,18,156,488,1,89,9,80,1,none,5,0,1
NegateConditionalsMutator,18,158,491,3,89,18,71,1,none,5,0,1
NegateConditionalsMutator,8,199,494,6,89,28,61,1,none,5,0,1
NegateConditionalsMutator,16,154,498,9,89,42,47,1,none,5,0,1
NegateConditionalsMutator,16,153,502,14,89,61,28,1,none,5,0,1
NonVoidMethodCallMutator,2,184,487,0,89,4,85,1,none,5,0,1
NonVoidMethodCallMutator,4,184,492,4,89,22,67,1,none,5,0,1
NonVoidMethodCallMutator,2,182,497,8,89,37,52,1,none,5,0,1
NonVoidMethodCallMutator,4,184,499,10,89,46,43,1,none,5,0,1
NonVoidMethodCallMutator,2,182,501,12,89,55,34,1,none,5,0,0
NonVoidMethodCallMutator,2,184,502,13,89,60,29,1,none,5,0,0
NonVoidMethodCallMutator,4,182,503,16,89,68,21,1,none,5,0,1
NonVoidMethodCallMutator,4,182,503,17,89,70,19,1,none,5,0,1
NonVoidMethodCallMutator,2,182,503,18,89,71,18,1,none,5,0,1
NonVoidMethodCallMutator,4,184,503,19,89,72,17,1,none,5,0,1
NonVoidMethodCallMutator,4,182,505,22,89,81,8,1,none,5,0,1
NonVoidMethodCallMutator,4,182,505,23,89,83,6,1,none,5,0,1
NonVoidMethodCallMutator,4,182,505,24,89,85,4,1,none,5,0,1
NonVoidMethodCallMutator,2,182,505,25,89,86,3,1,none,5,0,1
NonVoidMethodCallMutator,4,184,505,26,89,87,2,1,none,5,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,494,6,89,28,61,1,none,5,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,154,498,9,89,42,47,1,none,5,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,502,14,89,61,28,1,none,5,0,0
RemoveConditionalMutator_EQUAL_IF,8,199,494,6,89,28,61,1,none,5,0,1
RemoveConditionalMutator_EQUAL_IF,16,154,498,9,89,42,47,1,none,5,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,502,14,89,61,28,1,none,5,0,1
RemoveConditionalMutator_ORDER_ELSE,18,156,488,1,89,9,80,1,none,5,0,0
RemoveConditionalMutator_ORDER_ELSE,18,158,491,3,89,18,71,1,none,5,0,1
