MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
InlineConstantMutator,12,4,210,0,9,4,5,404,none,1,0,1
CRCR2Mutator,12,4,210,0,9,4,5,404,none,1,0,1
CRCR3Mutator,12,4,210,0,9,4,5,404,none,1,0,0
CRCR4Mutator,12,4,210,0,9,4,5,404,none,1,0,0
CRCR5Mutator,12,4,210,0,9,4,5,404,none,1,0,0
CRCR6Mutator,12,4,210,0,9,4,5,404,none,1,0,1
ConstructorCallMutator,2,183,248,1,16,10,6,27,none,2,0,1
VoidMethodCallMutator,2,182,248,2,16,12,4,26,none,2,0,1
ConstructorCallMutator,2,183,203,1,80,10,70,404,none,2,0,1
ConstructorCallMutator,2,183,221,2,80,17,63,404,none,2,0,1
ConstructorCallMutator,2,183,222,3,80,24,56,404,none,2,0,1
ConstructorCallMutator,2,183,223,4,80,31,49,404,none,2,0,1
ConstructorCallMutator,2,183,224,5,80,38,42,404,none,2,0,1
ConstructorCallMutator,2,183,225,6,80,45,35,404,none,2,0,1
ConstructorCallMutator,2,183,228,9,80,60,20,404,none,2,0,1
ConstructorCallMutator,2,183,228,11,80,66,14,1,none,2,0,1
ConstructorCallMutator,2,183,232,12,80,75,5,404,none,2,0,1
InlineConstantMutator,10,3,226,7,80,50,30,404,none,2,0,1
NegateConditionalsMutator,16,153,228,8,80,57,23,404,none,2,0,1
NonVoidMethodCallMutator,2,184,226,7,80,51,29,404,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,228,8,80,57,23,404,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,228,8,80,57,23,404,none,2,0,1
VoidMethodCallMutator,2,182,232,13,80,76,4,404,none,2,0,1
MemberVariableMutator,2,181,203,2,80,11,69,404,none,2,0,1
MemberVariableMutator,2,181,221,3,80,18,62,404,none,2,0,1
MemberVariableMutator,2,181,222,4,80,25,55,404,none,2,0,1
MemberVariableMutator,2,181,223,5,80,32,48,404,none,2,0,1
MemberVariableMutator,2,181,224,6,80,39,41,404,none,2,0,1
MemberVariableMutator,2,181,225,7,80,46,34,404,none,2,0,1
MemberVariableMutator,2,181,226,8,80,52,28,404,none,2,0,1
MemberVariableMutator,2,181,228,12,80,69,11,404,none,2,0,1
ABSMutator,10,21,228,8,80,56,24,404,none,2,0,0
CRCR1Mutator,10,3,226,7,80,50,30,404,none,2,0,1
CRCR3Mutator,10,3,226,7,80,50,30,404,none,2,0,1
CRCR5Mutator,10,3,226,7,80,50,30,404,none,2,0,1
CRCR6Mutator,10,3,226,7,80,50,30,404,none,2,0,1
ROR1Mutator,16,153,228,8,80,57,23,404,none,2,0,1
ROR2Mutator,16,153,228,8,80,57,23,404,none,2,0,0
ROR3Mutator,16,153,228,8,80,57,23,404,none,2,0,1
ROR4Mutator,16,153,228,8,80,57,23,404,none,2,0,1
ROR5Mutator,16,153,228,8,80,57,23,404,none,2,0,1
UOI1Mutator,10,21,228,8,80,56,24,404,none,2,0,0
UOI2Mutator,10,21,228,8,80,56,24,404,none,2,0,0
