MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ConstructorCallMutator,2,183,61,1,66,43,23,39,none,4,0,1
ConstructorCallMutator,2,183,62,2,66,51,15,39,none,4,0,1
InlineConstantMutator,12,4,38,1,66,8,58,39,none,4,0,1
InlineConstantMutator,10,3,45,1,66,14,52,39,none,4,0,0
InlineConstantMutator,10,3,46,1,66,19,47,39,none,4,0,1
InlineConstantMutator,10,3,48,1,66,24,42,39,none,4,0,1
InlineConstantMutator,14,17,61,1,66,42,24,39,none,4,0,0
InlineConstantMutator,14,17,62,2,66,50,16,39,none,4,0,0
InlineConstantMutator,10,3,63,3,66,56,10,39,none,4,0,1
MemberVariableMutator,2,181,38,1,66,10,56,39,none,4,0,1
MemberVariableMutator,2,181,45,1,66,15,51,39,none,4,0,0
MemberVariableMutator,2,181,46,1,66,20,46,39,none,4,0,0
MemberVariableMutator,2,181,48,1,66,25,41,39,none,4,0,0
MemberVariableMutator,2,181,59,1,66,30,36,39,none,4,0,1
MemberVariableMutator,2,181,60,1,66,36,30,39,none,4,0,1
MemberVariableMutator,2,181,61,2,66,44,22,39,none,4,0,1
MemberVariableMutator,2,181,62,3,66,52,14,39,none,4,0,1
MemberVariableMutator,2,181,63,3,66,57,9,39,none,4,0,0
MemberVariableMutator,2,181,64,3,66,62,4,39,none,4,0,1
ABSMutator,10,21,60,1,66,34,32,39,none,4,0,1
CRCR1Mutator,10,3,45,1,66,14,52,39,none,4,0,0
CRCR1Mutator,10,3,46,1,66,19,47,39,none,4,0,1
CRCR1Mutator,10,3,48,1,66,24,42,39,none,4,0,1
CRCR1Mutator,14,17,61,1,66,42,24,39,none,4,0,0
CRCR1Mutator,14,17,62,2,66,50,16,39,none,4,0,0
CRCR1Mutator,10,3,63,3,66,56,10,39,none,4,0,1
CRCR2Mutator,12,4,38,1,66,8,58,39,none,4,0,1
CRCR2Mutator,14,17,61,1,66,42,24,39,none,4,0,0
CRCR2Mutator,14,17,62,2,66,50,16,39,none,4,0,0
CRCR3Mutator,12,4,38,1,66,8,58,39,none,4,0,1
CRCR3Mutator,10,3,45,1,66,14,52,39,none,4,0,1
CRCR3Mutator,10,3,46,1,66,19,47,39,none,4,0,0
CRCR3Mutator,10,3,48,1,66,24,42,39,none,4,0,1
CRCR3Mutator,14,17,61,1,66,42,24,39,none,4,0,1
CRCR3Mutator,14,17,62,2,66,50,16,39,none,4,0,1
CRCR3Mutator,10,3,63,3,66,56,10,39,none,4,0,1
CRCR4Mutator,12,4,38,1,66,8,58,39,none,4,0,1
CRCR4Mutator,14,17,61,1,66,42,24,39,none,4,0,1
CRCR4Mutator,14,17,62,2,66,50,16,39,none,4,0,1
CRCR5Mutator,12,4,38,1,66,8,58,39,none,4,0,0
CRCR5Mutator,10,3,45,1,66,14,52,39,none,4,0,0
CRCR5Mutator,10,3,46,1,66,19,47,39,none,4,0,1
CRCR5Mutator,10,3,48,1,66,24,42,39,none,4,0,1
CRCR5Mutator,14,17,61,1,66,42,24,39,none,4,0,0
CRCR5Mutator,14,17,62,2,66,50,16,39,none,4,0,0
CRCR5Mutator,10,3,63,3,66,56,10,39,none,4,0,1
CRCR6Mutator,12,4,38,1,66,8,58,39,none,4,0,1
CRCR6Mutator,10,3,45,1,66,14,52,39,none,4,0,1
CRCR6Mutator,10,3,46,1,66,19,47,39,none,4,0,0
CRCR6Mutator,10,3,48,1,66,24,42,39,none,4,0,1
CRCR6Mutator,14,17,61,1,66,42,24,39,none,4,0,0
CRCR6Mutator,14,17,62,2,66,50,16,39,none,4,0,0
CRCR6Mutator,10,3,63,3,66,56,10,39,none,4,0,1
UOI1Mutator,10,21,60,1,66,34,32,39,none,4,0,0
UOI2Mutator,10,21,60,1,66,34,32,39,none,4,0,0
UOI3Mutator,10,21,60,1,66,34,32,39,none,4,0,0
UOI4Mutator,10,21,60,1,66,34,32,39,none,4,0,0
NegateConditionalsMutator,16,153,68,0,17,7,10,25,none,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,68,0,17,7,10,25,none,4,0,0
RemoveConditionalMutator_EQUAL_IF,16,153,68,0,17,7,10,25,none,4,0,1
ABSMutator,10,21,68,0,17,4,13,25,none,4,0,1
ABSMutator,10,21,68,0,17,6,11,25,none,4,0,0
ROR1Mutator,16,153,68,0,17,7,10,25,none,4,0,1
ROR2Mutator,16,153,68,0,17,7,10,25,none,4,0,0
ROR3Mutator,16,153,68,0,17,7,10,25,none,4,0,1
ROR4Mutator,16,153,68,0,17,7,10,25,none,4,0,0
ROR5Mutator,16,153,68,0,17,7,10,25,none,4,0,1
UOI1Mutator,10,21,68,0,17,4,13,25,none,4,0,0
UOI1Mutator,10,21,68,0,17,6,11,25,none,4,0,0
UOI2Mutator,10,21,68,0,17,4,13,25,none,4,0,0
UOI2Mutator,10,21,68,0,17,6,11,25,none,4,0,0
UOI3Mutator,10,21,68,0,17,4,13,25,none,4,0,0
UOI3Mutator,10,21,68,0,17,6,11,25,none,4,0,1
UOI4Mutator,10,21,68,0,17,4,13,25,none,4,0,0
UOI4Mutator,10,21,68,0,17,6,11,25,none,4,0,1
InlineConstantMutator,10,3,76,0,10,5,5,19,none,2,0,1
CRCR1Mutator,10,3,76,0,10,5,5,19,none,2,0,1
CRCR3Mutator,10,3,76,0,10,5,5,19,none,2,0,1
CRCR5Mutator,10,3,76,0,10,5,5,19,none,2,0,1
CRCR6Mutator,10,3,76,0,10,5,5,19,none,2,0,1
InlineConstantMutator,14,17,54,0,11,4,7,14,none,3,0,0
CRCR1Mutator,14,17,54,0,11,4,7,14,none,3,0,1
CRCR2Mutator,14,17,54,0,11,4,7,14,none,3,0,1
CRCR3Mutator,14,17,54,0,11,4,7,14,none,3,0,1
CRCR4Mutator,14,17,54,0,11,4,7,14,none,3,0,1
CRCR5Mutator,14,17,54,0,11,4,7,14,none,3,0,0
CRCR6Mutator,14,17,54,0,11,4,7,14,none,3,0,0
InlineConstantMutator,14,17,72,0,11,4,7,19,none,3,0,0
ABSMutator,10,21,72,0,11,6,5,19,none,3,0,0
CRCR1Mutator,14,17,72,0,11,4,7,19,none,3,0,1
CRCR2Mutator,14,17,72,0,11,4,7,19,none,3,0,1
CRCR3Mutator,14,17,72,0,11,4,7,19,none,3,0,1
CRCR4Mutator,14,17,72,0,11,4,7,19,none,3,0,1
CRCR5Mutator,14,17,72,0,11,4,7,19,none,3,0,0
CRCR6Mutator,14,17,72,0,11,4,7,19,none,3,0,0
UOI1Mutator,10,21,72,0,11,6,5,19,none,3,0,0
