MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
NonVoidMethodCallMutator,2,182,164,1,36,19,17,270,none,3,0,1
NonVoidMethodCallMutator,2,182,165,2,36,25,11,270,none,3,0,1
NonVoidMethodCallMutator,2,182,166,3,36,31,5,270,none,3,0,1
MemberVariableMutator,2,181,162,1,36,9,27,270,none,3,0,1
MemberVariableMutator,2,181,163,1,36,14,22,270,none,3,0,1
MemberVariableMutator,2,181,164,2,36,20,16,270,none,3,0,1
MemberVariableMutator,2,181,165,3,36,26,10,270,none,3,0,1
MemberVariableMutator,2,181,166,4,36,32,4,270,none,3,0,1
NegateConditionalsMutator,8,166,794,0,69,5,64,9,L,1,0,1
NegateConditionalsMutator,8,166,795,2,69,13,56,9,L,1,0,1
NegateConditionalsMutator,8,166,796,4,69,21,48,9,L,1,0,1
NegateConditionalsMutator,8,166,797,6,69,29,40,9,L,1,0,1
NegateConditionalsMutator,8,166,798,8,69,37,32,9,L,1,0,1
NegateConditionalsMutator,8,166,799,10,69,45,24,9,L,1,0,1
NegateConditionalsMutator,8,166,800,12,69,53,16,6,L,1,0,1
NegateConditionalsMutator,8,166,801,14,69,61,8,6,L,1,0,1
NullReturnValsMutator,4,176,794,1,69,7,62,0,L,1,0,0
NullReturnValsMutator,4,176,795,3,69,15,54,0,L,1,0,0
NullReturnValsMutator,4,176,796,5,69,23,46,0,L,1,0,0
NullReturnValsMutator,4,176,797,7,69,31,38,0,L,1,0,0
NullReturnValsMutator,4,176,798,9,69,39,30,0,L,1,0,0
NullReturnValsMutator,4,176,799,11,69,47,22,3,L,1,0,1
NullReturnValsMutator,4,176,800,13,69,55,14,0,L,1,0,0
NullReturnValsMutator,4,176,801,15,69,63,6,0,L,1,0,0
NullReturnValsMutator,4,176,802,16,69,68,1,6,L,1,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,166,794,0,69,5,64,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,795,2,69,13,56,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,796,4,69,21,48,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,797,6,69,29,40,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,798,8,69,37,32,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,799,10,69,45,24,9,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,800,12,69,53,16,6,L,1,0,0
RemoveConditionalMutator_EQUAL_ELSE,8,166,801,14,69,61,8,6,L,1,0,0
RemoveConditionalMutator_EQUAL_IF,8,166,794,0,69,5,64,9,L,1,0,1
