MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
InlineConstantMutator,14,16,98,0,9,4,5,164,none,1,0,1
CRCR1Mutator,14,16,98,0,9,4,5,164,none,1,0,1
CRCR2Mutator,14,16,98,0,9,4,5,164,none,1,0,0
CRCR3Mutator,14,16,98,0,9,4,5,164,none,1,0,0
CRCR4Mutator,14,16,98,0,9,4,5,164,none,1,0,0
CRCR5Mutator,14,16,98,0,9,4,5,164,none,1,0,1
CRCR6Mutator,14,16,98,0,9,4,5,164,none,1,0,1
ConditionalsBoundaryMutator,18,157,108,1,23,8,15,167,none,2,0,1
InlineConstantMutator,14,16,109,2,23,11,12,1,none,2,0,1
NegateConditionalsMutator,18,157,108,1,23,8,15,167,none,2,0,1
RemoveConditionalMutator_ORDER_ELSE,18,157,108,1,23,8,15,167,none,2,0,1
RemoveConditionalMutator_ORDER_IF,18,157,108,1,23,8,15,167,none,2,0,1
MemberVariableMutator,2,181,111,3,23,19,4,167,none,2,0,1
ABSMutator,10,21,108,1,23,7,16,167,none,2,0,1
ABSMutator,10,21,111,3,23,17,6,167,none,2,0,1
CRCR1Mutator,14,16,109,2,23,11,12,1,none,2,0,1
CRCR2Mutator,14,16,109,2,23,11,12,1,none,2,0,1
CRCR3Mutator,14,16,109,2,23,11,12,1,none,2,0,1
CRCR4Mutator,14,16,109,2,23,11,12,1,none,2,0,1
CRCR5Mutator,14,16,109,2,23,11,12,1,none,2,0,1
CRCR6Mutator,14,16,109,2,23,11,12,1,none,2,0,1
ROR1Mutator,18,157,108,1,23,8,15,167,none,2,0,1
ROR2Mutator,18,157,108,1,23,8,15,167,none,2,0,1
ROR3Mutator,18,157,108,1,23,8,15,167,none,2,0,1
ROR4Mutator,18,157,108,1,23,8,15,167,none,2,0,1
ROR5Mutator,18,157,108,1,23,8,15,167,none,2,0,1
UOI1Mutator,10,21,108,1,23,7,16,167,none,2,0,1
UOI1Mutator,10,21,111,3,23,17,6,167,none,2,0,0
UOI2Mutator,10,21,108,1,23,7,16,167,none,2,0,1
UOI2Mutator,10,21,111,3,23,17,6,167,none,2,0,0
UOI3Mutator,10,21,108,1,23,7,16,167,none,2,0,1
UOI3Mutator,10,21,111,3,23,17,6,167,none,2,0,1
UOI4Mutator,10,21,108,1,23,7,16,167,none,2,0,1
UOI4Mutator,10,21,111,3,23,17,6,167,none,2,0,1
InlineConstantMutator,14,16,123,2,36,12,24,1,none,2,0,1
InlineConstantMutator,14,16,125,4,36,22,14,86,none,2,0,1
MathMutator,14,96,125,4,36,23,13,86,none,2,0,1
