MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
ArgumentPropagationMutator,4,183,129,3,156,34,122,17,V,9,0,1
ArgumentPropagationMutator,4,185,138,12,156,83,73,17,V,9,0,1
ArgumentPropagationMutator,4,185,146,25,156,145,11,17,V,9,0,1
ConstructorCallMutator,2,183,121,1,156,10,146,17,V,9,0,1
ConstructorCallMutator,2,183,122,2,156,17,139,17,V,9,0,1
ConstructorCallMutator,2,183,147,24,156,142,14,17,V,9,0,1
NegateConditionalsMutator,8,198,134,8,156,65,91,17,V,9,0,1
NegateConditionalsMutator,8,166,141,14,156,98,58,17,V,9,0,1
NegateConditionalsMutator,8,166,143,17,156,111,45,17,V,9,0,1
NonVoidMethodCallMutator,4,183,129,3,156,34,122,17,V,9,0,1
NonVoidMethodCallMutator,2,182,131,4,156,39,117,17,V,9,0,1
NonVoidMethodCallMutator,2,182,133,7,156,59,97,17,V,9,0,1
NonVoidMethodCallMutator,2,185,135,9,156,69,87,17,V,9,0,1
NonVoidMethodCallMutator,2,182,137,10,156,74,82,17,V,9,0,1
NonVoidMethodCallMutator,2,184,138,11,156,82,74,17,V,9,0,1
NonVoidMethodCallMutator,4,185,138,12,156,83,73,17,V,9,0,1
NonVoidMethodCallMutator,2,185,140,13,156,92,64,17,V,9,0,1
NonVoidMethodCallMutator,2,183,142,15,156,103,53,16,V,9,0,1
NonVoidMethodCallMutator,2,183,144,18,156,116,40,16,V,9,0,1
NonVoidMethodCallMutator,2,184,146,20,156,124,32,17,V,9,0,1
NonVoidMethodCallMutator,2,185,146,21,156,131,25,17,V,9,0,1
NonVoidMethodCallMutator,2,182,147,22,156,139,17,17,V,9,0,1
NonVoidMethodCallMutator,2,183,147,23,156,140,16,17,V,9,0,1
NonVoidMethodCallMutator,4,185,146,25,156,145,11,17,V,9,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,198,134,8,156,65,91,17,V,9,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,166,141,14,156,98,58,17,V,9,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,166,143,17,156,111,45,17,V,9,0,1
RemoveConditionalMutator_EQUAL_IF,8,198,134,8,156,65,91,17,V,9,0,1
RemoveConditionalMutator_EQUAL_IF,8,166,141,14,156,98,58,17,V,9,0,1
RemoveConditionalMutator_EQUAL_IF,8,166,143,17,156,111,45,17,V,9,0,1
