Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,9,0,0,0,12,none,0,0,0,0,0
1,DecrementInteger,10,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,1,none,0,0,0,0,1
2,IncrementInteger,10,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,1,none,0,0,0,0,1
3,OneZeroInteger,10,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,1,none,0,0,0,0,1
4,Coalesce,10,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,22,5,1,0,1,PhpParser\Node\Identifier,0,0,1,1,1
5,Identical,10,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\Expression,22,5,1,0,1,PhpParser\Node\Identifier,0,0,1,1,1
6,DecrementInteger,10,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,1,none,0,0,0,0,1
7,IncrementInteger,10,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,1,none,0,0,0,0,1
8,Coalesce,10,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,22,5,1,0,1,PhpParser\Node\Identifier,0,0,1,1,1
9,Ternary,10,PhpParser\Node\Expr\Ternary,PhpParser\Node\Stmt\Expression,22,5,1,0,1,PhpParser\Node\Identifier,0,0,1,1,1
10,Ternary,10,PhpParser\Node\Expr\Ternary,PhpParser\Node\Stmt\Expression,22,5,1,0,1,PhpParser\Node\Identifier,0,0,1,1,1
11,FunctionCallRemoval,1,PhpParser\Node\Stmt\Expression,none,23,0,0,0,1,none,0,0,0,0,1
12,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,27,0,0,0,1,none,0,0,0,0,1
13,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,25,0,0,0,8,none,0,0,0,0,0
14,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,25,0,0,0,8,none,0,0,0,0,0
15,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,25,0,0,0,8,none,0,0,0,0,0
16,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,27,0,0,0,4,none,0,0,0,0,1
17,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,40,0,0,0,148,none,0,0,0,0,0
18,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,40,0,0,0,148,none,0,0,0,0,0
19,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,40,0,0,0,148,none,0,0,0,0,0
