Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,44,0,0,0,5,none,0,0,0,0,1
1,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,49,2,0,0,5,none,0,0,1,0,1
2,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,58,2,0,0,5,none,0,0,2,0,1
3,Ternary,1,PhpParser\Node\Expr\Ternary,none,61,2,0,0,1,none,0,0,2,0,1
4,Throw_,1,PhpParser\Node\Stmt\Throw_,none,59,0,0,0,3,none,0,0,0,0,1
5,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,76,3,0,0,21,none,0,0,0,0,1
6,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,77,3,0,0,21,none,0,0,0,0,1
7,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,78,3,0,0,21,none,0,0,0,0,1
8,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,79,3,0,0,21,none,0,0,0,0,1
9,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,80,3,0,0,21,none,0,0,0,0,1
10,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,81,3,0,0,21,none,0,0,0,0,1
11,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,75,3,0,0,21,none,0,0,0,0,1
12,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,84,3,1,0,3,none,0,0,0,0,1
13,Throw_,1,PhpParser\Node\Stmt\Throw_,none,85,0,0,0,3,none,0,0,0,0,1
14,Identical,3,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,105,9,1,0,7,none,0,0,1,0,1
15,NotIdentical,3,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,105,9,1,0,7,none,0,0,1,0,1
16,LogicalAnd,3,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,105,9,1,0,7,none,0,0,1,0,0
17,Ternary,1,PhpParser\Node\Expr\Ternary,none,108,9,0,0,1,none,0,0,1,0,1
18,Throw_,1,PhpParser\Node\Stmt\Throw_,none,106,0,0,0,4,none,0,0,0,0,1
19,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,113,9,2,0,6,none,0,0,1,0,0
20,UnwrapArrayFlip,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,122,9,3,0,6,none,0,0,1,0,1
