Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,12,0,0,0,86,none,0,0,0,0,0
1,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,42,0,0,0,92,none,0,0,0,0,1
2,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,44,0,0,0,92,none,0,0,0,0,1
3,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,51,10,5,0,55,none,0,0,1,0,1
4,Throw_,1,PhpParser\Node\Stmt\Throw_,none,52,0,0,0,2,none,0,0,0,0,1
5,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,54,10,6,0,53,none,0,0,1,0,1
6,Throw_,1,PhpParser\Node\Stmt\Throw_,none,55,0,0,0,1,none,0,0,0,0,1
7,GreaterThan,2,PhpParser\Node\Expr\BinaryOp\Greater,PhpParser\Node\Stmt\If_,57,10,7,0,52,none,0,0,1,0,0
8,GreaterThanNegotiation,2,PhpParser\Node\Expr\BinaryOp\Greater,PhpParser\Node\Stmt\If_,57,10,7,0,52,none,0,0,1,0,1
9,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,60,10,8,0,52,none,0,0,1,0,1
10,Throw_,1,PhpParser\Node\Stmt\Throw_,none,61,0,0,0,0,none,0,0,0,0,0
11,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,68,0,0,0,92,none,0,0,0,0,1
12,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,69,0,0,0,91,none,0,0,0,0,1
13,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,71,3,2,0,84,none,0,0,0,0,1
14,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,73,0,0,0,3,none,0,0,0,0,0
15,Identical,2,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\Expression,79,2,0,0,91,none,0,0,0,0,1
16,Identical,2,PhpParser\Node\Expr\BinaryOp\Identical,none,80,2,0,0,85,none,0,0,0,0,1
17,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,none,81,2,0,0,91,none,0,0,0,0,1
18,LogicalAnd,2,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,80,2,0,0,176,none,0,0,0,0,1
19,LogicalOr,2,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\Expression,79,2,0,0,267,none,0,0,0,0,1
20,Throw_,1,PhpParser\Node\Stmt\Throw_,none,84,0,0,0,7,none,0,0,0,0,1
21,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,90,2,0,0,92,none,0,0,0,0,1
22,Throw_,1,PhpParser\Node\Stmt\Throw_,none,91,0,0,0,1,none,0,0,0,0,1
23,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,93,2,1,0,91,none,0,0,0,0,1
24,Throw_,1,PhpParser\Node\Stmt\Throw_,none,94,0,0,0,0,none,0,0,0,0,0
25,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,98,0,0,0,208,none,0,0,0,0,1
26,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,103,0,0,0,83,none,0,0,0,0,1
27,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,103,0,0,0,83,none,0,0,0,0,1
28,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,106,11,1,0,7,none,0,0,2,0,1
29,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,110,0,0,0,7,none,0,0,0,0,1
30,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,110,0,0,0,7,none,0,0,0,0,1
31,UnwrapSubstr,3,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,110,11,2,0,7,none,0,0,2,0,1
32,OneZeroInteger,2,PhpParser\Node\Scalar\LNumber,none,116,0,0,0,7,none,0,0,0,0,1
33,NotIdentical,2,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,116,11,6,0,7,none,0,0,2,0,1
34,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,120,0,0,0,7,none,0,0,0,0,1
35,Identical,2,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,120,11,7,0,7,none,0,0,2,0,1
36,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,122,11,0,0,4,none,0,0,2,0,1
37,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,128,11,8,0,3,none,0,0,2,0,1
38,DecrementInteger,8,PhpParser\Node\Scalar\LNumber,none,133,0,0,0,2,none,0,0,0,0,0
39,OneZeroInteger,8,PhpParser\Node\Scalar\LNumber,none,133,0,0,0,2,none,0,0,0,0,0
40,Identical,8,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,133,11,9,0,2,none,0,0,2,0,0
41,DecrementInteger,8,PhpParser\Node\Scalar\LNumber,none,133,0,0,0,2,none,0,0,0,0,0
42,IncrementInteger,8,PhpParser\Node\Scalar\LNumber,none,133,0,0,0,2,none,0,0,0,0,0
43,Minus,8,PhpParser\Node\Expr\BinaryOp\Minus,PhpParser\Node\Stmt\If_,133,11,9,0,2,none,0,0,2,0,0
44,Identical,8,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,133,11,9,0,2,none,0,0,2,0,0
45,LogicalOr,8,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,133,11,9,0,2,none,0,0,2,0,0
46,Increment,1,PhpParser\Node\Expr\PreInc,none,136,11,0,0,2,none,0,0,2,0,0
47,GreaterThan,2,PhpParser\Node\Expr\BinaryOp\Greater,PhpParser\Node\Stmt\If_,139,11,10,0,2,none,0,0,2,0,0
48,GreaterThanNegotiation,2,PhpParser\Node\Expr\BinaryOp\Greater,PhpParser\Node\Stmt\If_,139,11,10,0,2,none,0,0,2,0,1
49,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,141,11,0,0,1,none,0,0,2,0,1
50,PublicVisibility,3,PhpParser\Node\Stmt\ClassMethod,none,103,0,0,0,3486,none,0,0,0,0,0
51,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,149,0,0,0,82,none,0,0,0,0,1
52,OneZeroInteger,2,PhpParser\Node\Scalar\LNumber,none,149,0,0,0,82,none,0,0,0,0,1
53,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,153,0,0,0,82,none,0,0,0,0,1
54,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,155,4,0,0,82,none,0,0,0,0,1
55,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,156,0,0,0,3,none,0,0,0,0,1
56,Assignment,2,PhpParser\Node\Expr\AssignOp\Plus,none,157,4,0,0,3,none,0,0,0,0,0
57,PlusEqual,2,PhpParser\Node\Expr\AssignOp\Plus,none,157,4,0,0,3,none,0,0,0,0,1
58,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,158,0,0,0,3,none,0,0,0,0,0
59,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,160,4,0,0,3,none,0,0,0,0,1
60,Decrement,1,PhpParser\Node\Expr\PostDec,none,161,4,0,0,3,none,0,0,0,0,1
61,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,164,4,0,0,82,none,0,0,0,0,1
62,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,165,0,0,0,3,none,0,0,0,0,1
63,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,165,0,0,0,3,none,0,0,0,0,1
64,Identical,3,PhpParser\Node\Expr\BinaryOp\Identical,none,165,4,0,0,3,none,0,0,0,0,1
65,Throw_,1,PhpParser\Node\Stmt\Throw_,none,166,0,0,0,3,none,0,0,0,0,1
66,Decrement,1,PhpParser\Node\Expr\PostDec,none,168,4,0,0,0,none,0,0,0,0,0
67,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,172,0,0,0,81,none,0,0,0,0,1
68,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,173,0,0,0,81,none,0,0,0,0,1
69,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,176,0,0,0,13,none,0,0,0,0,1
70,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,179,0,0,0,78,none,0,0,0,0,1
71,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,182,0,0,0,9,none,0,0,0,0,1
72,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,185,4,0,0,78,none,0,0,0,0,0
73,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,186,0,0,0,78,none,0,0,0,0,1
74,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,187,4,0,0,78,none,0,0,0,0,1
75,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,146,0,0,0,55125,none,0,0,0,0,0
76,TrueValue,3,PhpParser\Node\Expr\ConstFetch,none,194,0,0,0,82,none,0,0,0,0,0
77,TrueValue,3,PhpParser\Node\Expr\ConstFetch,none,194,0,0,0,82,none,0,0,0,0,0
78,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,194,2,0,0,82,none,0,0,1,0,1
79,Throw_,1,PhpParser\Node\Stmt\Throw_,none,196,0,0,0,8,none,0,0,0,0,1
80,CloneRemoval,1,PhpParser\Node\Expr\Clone_,none,206,3,0,0,7,none,0,0,0,0,0
81,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,207,0,0,0,7,none,0,0,0,0,1
82,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,200,0,0,0,915,none,0,0,0,0,0
83,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,218,0,0,0,13,none,0,0,0,0,1
84,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,221,10,0,0,13,none,0,0,0,0,1
85,Throw_,1,PhpParser\Node\Stmt\Throw_,none,222,0,0,0,0,none,0,0,0,0,0
86,Identical,3,PhpParser\Node\Expr\BinaryOp\Identical,none,225,10,0,0,13,none,0,0,0,0,1
87,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,226,10,0,0,13,none,0,0,0,0,1
88,LogicalOr,3,PhpParser\Node\Expr\BinaryOp\BooleanOr,none,225,10,0,0,26,none,0,0,0,0,0
89,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,227,10,0,0,13,none,0,0,0,0,1
90,LogicalOr,3,PhpParser\Node\Expr\BinaryOp\BooleanOr,none,225,10,0,0,39,none,0,0,0,0,1
91,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,232,10,0,0,13,none,0,0,0,0,0
92,Throw_,1,PhpParser\Node\Stmt\Throw_,none,233,0,0,0,1,none,0,0,0,0,1
93,Identical,2,PhpParser\Node\Expr\BinaryOp\Identical,none,237,10,0,0,12,none,0,0,0,0,0
94,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,none,237,10,0,0,12,none,0,0,0,0,0
95,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,240,0,0,0,0,none,0,0,0,0,0
96,Throw_,1,PhpParser\Node\Stmt\Throw_,none,244,0,0,0,1,none,0,0,0,0,1
97,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,247,10,0,0,11,none,0,0,0,0,1
98,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,249,10,0,0,0,none,0,0,0,0,0
99,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,250,0,0,0,0,none,0,0,0,0,0
100,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,251,0,0,0,0,none,0,0,0,0,0
101,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,253,10,0,0,11,none,0,0,0,0,1
102,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,254,0,0,0,7,none,0,0,0,0,1
103,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,256,10,0,0,11,none,0,0,0,0,1
104,Break_,1,PhpParser\Node\Stmt\Break_,none,257,0,0,0,0,none,0,0,0,0,0
