Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,25,0,0,0,102,none,0,0,0,0,1
1,InstanceOf_,3,PhpParser\Node\Expr\Instanceof_,none,30,0,0,0,1,none,0,0,0,0,1
2,InstanceOf_,3,PhpParser\Node\Expr\Instanceof_,none,30,0,0,0,1,none,0,0,0,0,1
3,LogicalNot,3,PhpParser\Node\Expr\BooleanNot,none,30,2,0,0,1,none,0,0,2,1,1
4,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,33,0,0,0,1,none,0,0,0,0,1
5,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,29,2,1,0,36,none,0,0,2,1,1
6,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,53,0,0,0,4,none,0,0,0,0,1
7,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,none,49,3,0,0,4,none,0,0,2,0,1
8,MethodCallRemoval,2,PhpParser\Node\Stmt\Expression,none,49,0,0,0,4,none,0,0,0,0,1
9,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,48,3,1,0,5,none,0,0,2,0,1
10,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,45,0,0,0,98,none,0,0,0,0,1
11,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,63,0,0,0,0,none,0,0,0,0,0
12,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,78,0,0,0,0,none,0,0,0,0,0
13,LogicalOr,1,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,80,2,0,0,0,none,0,0,2,0,0
14,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,none,81,2,0,0,0,none,0,0,2,0,0
15,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,82,0,0,0,0,none,0,0,0,0,0
16,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,86,0,0,0,0,none,0,0,0,0,0
17,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,76,0,0,0,0,none,0,0,0,0,0
18,Identical,3,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,98,3,0,0,1,none,0,0,1,0,1
19,LogicalNot,3,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,98,3,0,0,1,none,0,0,1,0,1
20,LogicalOr,3,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,98,3,0,0,1,none,0,0,1,0,0
21,NotIdentical,5,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,102,3,0,0,1,none,0,0,1,0,1
22,DecrementInteger,5,PhpParser\Node\Scalar\LNumber,none,102,0,0,0,1,none,0,0,0,0,1
23,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,102,0,0,0,1,none,0,0,0,0,1
24,Identical,5,PhpParser\Node\Expr\BinaryOp\Identical,none,102,3,0,0,1,none,0,0,1,0,1
25,LogicalAnd,5,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,102,3,0,0,1,none,0,0,1,0,1
26,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,101,3,1,0,3,none,0,0,1,0,1
27,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,95,0,0,0,70,none,0,0,0,0,1
28,UnwrapArrayMap,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,112,1,0,0,18,none,0,0,0,0,1
29,FunctionCall,2,PhpParser\Node\Stmt\Return_,none,112,0,0,0,18,none,0,0,0,0,1
30,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,119,1,0,0,3,none,0,0,3,0,1
31,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,none,122,1,0,0,3,none,0,0,3,0,1
32,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\Return_,126,1,0,0,1,none,0,0,1,0,1
