Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,37,0,0,0,25,none,0,0,0,0,1
1,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,49,3,0,0,25,none,0,0,1,0,1
2,Throw_,1,PhpParser\Node\Stmt\Throw_,none,50,0,0,0,0,none,0,0,0,0,0
3,This,1,PhpParser\Node\Stmt\Return_,none,55,0,0,0,25,none,0,0,0,0,0
4,This,1,PhpParser\Node\Stmt\Return_,none,78,0,0,0,3,none,0,0,0,0,0
5,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,99,0,0,0,25,none,0,0,0,0,1
6,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,97,0,0,0,100,none,0,0,0,0,0
7,ArrayItem,2,PhpParser\Node\Expr\ArrayItem,PhpParser\Node\Stmt\Return_,109,1,0,0,0,none,0,0,0,0,0
8,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,109,1,0,0,0,none,0,0,0,0,0
9,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,107,0,0,0,0,none,0,0,0,0,0
10,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,119,0,0,0,0,none,0,0,0,0,0
11,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,22,0,0,0,3,none,0,0,0,0,1
12,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,23,0,0,0,3,none,0,0,0,0,1
13,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,31,0,0,0,25,none,0,0,0,0,1
14,NewObject,1,PhpParser\Node\Stmt\Return_,none,42,0,0,0,0,none,0,0,0,0,0
15,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,36,0,0,0,0,none,0,0,0,0,0
16,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,53,0,0,0,0,none,0,0,0,0,0
17,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,51,0,0,0,0,none,0,0,0,0,0
18,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,31,0,0,0,25,none,0,0,0,0,1
19,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,31,0,0,0,25,none,0,0,0,0,1
20,UnwrapStrReplace,2,PhpParser\Node\Expr\FuncCall,none,50,6,0,0,0,none,0,0,0,0,0
21,FunctionCallRemoval,2,PhpParser\Node\Stmt\Expression,none,50,0,0,0,0,none,0,0,0,0,0
22,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,57,0,0,0,0,none,0,0,0,0,0
23,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,39,0,0,0,0,none,0,0,0,0,0
24,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,67,0,0,0,0,none,0,0,0,0,0
25,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,67,0,0,0,0,none,0,0,0,0,0
26,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,65,0,0,0,0,none,0,0,0,0,0
27,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,78,1,0,0,1,none,0,0,0,0,1
28,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,77,1,0,0,1,none,0,0,0,0,0
29,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,27,0,0,0,19,none,0,0,0,0,0
30,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,29,2,1,0,19,none,0,0,2,1,1
31,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,30,0,0,0,5,none,0,0,0,0,0
32,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,37,0,0,0,40,none,0,0,0,0,0
33,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,45,0,0,0,8,none,0,0,0,0,1
34,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,60,0,0,0,4,none,0,0,0,0,1
35,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,62,2,1,0,4,none,0,0,4,0,1
36,Ternary,2,PhpParser\Node\Expr\Ternary,PhpParser\Node\Stmt\Return_,62,2,1,0,4,none,0,0,4,0,0
37,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,58,0,0,0,48,none,0,0,0,0,1
38,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,28,5,0,0,5,none,1,0,2,0,1
39,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,29,0,0,0,1,none,0,0,0,0,1
40,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,29,0,0,0,1,none,0,0,0,0,1
41,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,35,5,0,0,1,none,1,0,2,0,1
42,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,37,5,0,0,1,none,1,0,2,0,1
43,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,40,5,2,0,2,none,1,0,2,0,1
44,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,41,0,0,0,1,none,0,0,0,0,1
45,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,41,0,0,0,1,none,0,0,0,0,1
46,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,44,0,0,0,1,none,0,0,0,0,1
47,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,46,0,0,0,1,none,0,0,0,0,0
48,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,26,0,0,0,440,none,0,0,0,0,1
49,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,33,4,0,0,0,none,1,0,2,0,0
50,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,35,4,0,0,0,none,1,0,2,0,0
51,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,39,0,0,0,0,none,0,0,0,0,0
52,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,26,0,0,0,0,none,0,0,0,0,0
53,This,1,PhpParser\Node\Stmt\Return_,none,46,0,0,0,1,none,0,0,0,0,0
54,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,42,0,0,0,12,none,0,0,0,0,1
55,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,54,0,0,0,4,none,0,0,0,0,1
56,This,1,PhpParser\Node\Stmt\Return_,none,70,0,0,0,0,none,0,0,0,0,0
57,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,66,0,0,0,0,none,0,0,0,0,0
58,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,78,0,0,0,0,none,0,0,0,0,0
