Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,21,0,0,0,132,none,0,0,0,0,0
1,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,28,0,0,0,0,none,0,0,0,0,0
2,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,30,6,1,0,0,PhpParser\Node\Identifier,0,0,0,0,0
3,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,31,0,0,0,0,none,0,0,0,0,0
4,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,36,0,0,0,0,none,0,0,0,0,0
5,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,39,0,0,0,0,none,0,0,0,0,0
6,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,41,0,0,0,0,none,0,0,0,0,0
7,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,25,0,0,0,0,none,0,0,0,0,0
8,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,none,16,2,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
9,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,17,0,0,0,0,none,0,0,0,0,0
10,Continue_,1,PhpParser\Node\Stmt\Continue_,none,18,0,0,0,0,none,0,0,0,0,0
11,Coalesce,2,PhpParser\Node\Expr\BinaryOp\Coalesce,none,22,2,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
12,LogicalNot,2,PhpParser\Node\Expr\BooleanNot,none,22,2,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
13,LogicalNot,3,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,29,3,0,0,0,PhpParser\Node\Identifier,0,0,2,0,0
14,LogicalNot,3,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,29,3,0,0,0,PhpParser\Node\Identifier,0,0,2,0,0
15,LogicalOr,3,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,29,3,0,0,0,PhpParser\Node\Identifier,0,0,2,0,0
16,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,30,0,0,0,0,none,0,0,0,0,0
17,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,33,0,0,0,0,none,0,0,0,0,0
18,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,33,0,0,0,0,none,0,0,0,0,0
19,NotIdentical,3,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,33,3,1,0,0,PhpParser\Node\Identifier,0,0,2,0,0
