Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,48,0,0,0,0,none,0,0,0,0,0
1,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,59,0,0,0,0,none,0,0,0,0,0
2,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,57,0,0,0,0,none,0,0,0,0,0
3,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,69,0,0,0,0,none,0,0,0,0,0
4,LogicalOr,2,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,79,1,0,0,0,none,0,0,0,0,0
5,LogicalOr,2,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,79,1,0,0,0,none,0,0,0,0,0
6,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,82,0,0,0,0,none,0,0,0,0,0
7,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,0,none,0,0,0,0,0
8,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,0,none,0,0,0,0,0
9,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,0,none,0,0,0,0,0
10,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,0,none,0,0,0,0,0
11,UnwrapSubstr,6,PhpParser\Node\Expr\FuncCall,none,90,1,0,0,0,none,0,0,0,0,0
12,Equal,6,PhpParser\Node\Expr\BinaryOp\Equal,none,90,1,0,0,0,none,0,0,0,0,0
13,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,91,0,0,0,0,none,0,0,0,0,0
14,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,91,0,0,0,0,none,0,0,0,0,0
15,OneZeroInteger,6,PhpParser\Node\Scalar\LNumber,none,91,0,0,0,0,none,0,0,0,0,0
16,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,91,0,0,0,0,none,0,0,0,0,0
17,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,91,0,0,0,0,none,0,0,0,0,0
18,UnwrapSubstr,6,PhpParser\Node\Expr\FuncCall,none,91,1,0,0,0,none,0,0,0,0,0
19,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,94,1,0,0,0,none,0,0,0,0,0
20,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,97,0,0,0,0,none,0,0,0,0,0
21,LogicalOr,1,PhpParser\Node\Expr\BinaryOp\BooleanOr,none,102,1,0,0,0,none,0,0,0,0,0
22,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,105,1,0,0,0,none,0,0,0,0,0
23,UnwrapStrReplace,3,PhpParser\Node\Expr\FuncCall,none,105,1,0,0,0,none,0,0,0,0,0
24,Assignment,3,PhpParser\Node\Expr\AssignOp\Concat,none,105,1,0,0,0,none,0,0,0,0,0
25,Foreach_,1,PhpParser\Node\Stmt\Foreach_,none,103,1,0,0,0,none,0,0,0,0,0
26,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,116,0,0,0,0,none,0,0,0,0,0
27,NotIdentical,2,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,116,1,0,0,0,none,0,0,0,0,0
28,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,117,0,0,0,0,none,0,0,0,0,0
29,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,120,0,0,0,0,none,0,0,0,0,0
30,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,123,0,0,0,0,none,0,0,0,0,0
31,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,77,0,0,0,0,none,0,0,0,0,0
32,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,133,2,0,0,0,none,0,0,0,0,0
33,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,131,0,0,0,0,none,0,0,0,0,0
34,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,138,0,0,0,0,none,0,0,0,0,0
35,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,128,0,0,0,0,none,0,0,0,0,0
36,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,151,2,0,0,0,none,0,0,0,0,0
37,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,150,2,1,0,0,none,0,0,0,0,0
38,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,168,3,0,0,0,none,0,0,0,0,0
39,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,169,3,0,0,0,none,0,0,0,0,0
40,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,170,3,0,0,0,none,0,0,0,0,0
41,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,171,3,0,0,0,none,0,0,0,0,0
42,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,172,3,0,0,0,none,0,0,0,0,0
43,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,167,3,2,0,0,none,0,0,0,0,0
44,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,71,0,0,0,0,none,0,0,0,0,0
