Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,17,0,0,0,1,none,0,0,0,0,0
1,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,19,0,0,0,0,none,0,0,0,0,0
2,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,14,0,0,0,24,none,0,0,0,0,1
3,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,22,0,0,0,4,none,0,0,0,0,0
4,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,16,0,0,0,128,none,0,0,0,0,1
5,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,24,0,0,0,4,none,0,0,0,0,1
6,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,26,0,0,0,4,none,0,0,0,0,0
7,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,18,0,0,0,200,none,0,0,0,0,1
8,UnwrapTrim,1,PhpParser\Node\Expr\FuncCall,none,42,6,0,0,1,none,0,0,1,0,1
9,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,41,6,4,0,2,none,0,0,1,0,1
10,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,45,0,0,0,1,none,0,0,0,0,1
11,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,29,0,0,0,234,none,0,0,0,0,0
12,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,20,4,0,0,2,none,0,0,0,0,0
13,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,24,4,0,0,1,none,0,0,0,0,1
14,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,30,0,0,0,2,none,0,0,0,0,1
15,ArrayItem,2,PhpParser\Node\Expr\ArrayItem,PhpParser\Node\Stmt\Return_,33,1,0,0,2,none,0,0,1,0,1
16,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,33,1,0,0,2,none,0,0,1,0,1
17,Ternary,1,PhpParser\Node\Expr\Ternary,PhpParser\Node\Stmt\Return_,40,1,0,0,2,none,0,0,1,0,1
18,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,44,0,0,0,6,none,0,0,0,0,1
19,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,29,4,3,0,22,none,0,0,0,0,1
20,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,18,0,0,0,1056,none,0,0,0,0,1
21,NewObject,1,PhpParser\Node\Stmt\Return_,none,12,0,0,0,3,none,0,0,0,0,0
22,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,10,0,0,0,12,none,0,0,0,0,0
23,NewObject,1,PhpParser\Node\Stmt\Return_,none,11,0,0,0,1,none,0,0,0,0,1
24,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,9,0,0,0,4,none,0,0,0,0,1
25,NewObject,1,PhpParser\Node\Stmt\Return_,none,11,0,0,0,17,none,0,0,0,0,0
26,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,9,0,0,0,68,none,0,0,0,0,0
27,NewObject,1,PhpParser\Node\Stmt\Return_,none,16,0,0,0,0,none,0,0,0,0,0
28,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,14,0,0,0,0,none,0,0,0,0,0
29,NewObject,1,PhpParser\Node\Stmt\Return_,none,11,0,0,0,1,none,0,0,0,0,1
30,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,9,0,0,0,4,none,0,0,0,0,1
31,NewObject,1,PhpParser\Node\Stmt\Return_,none,11,0,0,0,6,none,0,0,0,0,0
32,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,9,0,0,0,24,none,0,0,0,0,0
33,NewObject,1,PhpParser\Node\Stmt\Return_,none,16,0,0,0,0,none,0,0,0,0,0
34,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,14,0,0,0,0,none,0,0,0,0,0
35,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,4,none,0,0,0,0,1
36,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,22,0,0,0,4,none,0,0,0,0,1
37,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,13,0,0,0,280,none,0,0,0,0,1
38,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,37,0,0,0,3,none,0,0,0,0,1
39,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,37,0,0,0,3,none,0,0,0,0,1
40,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,28,0,0,0,210,none,0,0,0,0,1
41,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,47,5,1,0,1,PhpParser\Node\Name,0,0,1,0,0
42,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,52,0,0,0,1,none,0,0,0,0,1
43,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,52,0,0,0,1,none,0,0,0,0,1
44,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,43,0,0,0,70,none,0,0,0,0,1
45,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,60,0,0,0,3,none,0,0,0,0,1
46,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,60,0,0,0,3,none,0,0,0,0,1
47,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,58,0,0,0,12,none,0,0,0,0,1
48,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,63,0,0,0,4,none,0,0,0,0,1
49,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,68,0,0,0,4,none,0,0,0,0,1
50,Throw_,1,PhpParser\Node\Stmt\Throw_,none,13,0,0,0,1,none,0,0,0,0,1
