Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,30,7,1,0,56,none,0,0,1,0,0
1,UnwrapStrReplace,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,30,7,1,0,56,none,0,0,1,0,0
2,UnwrapTrim,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,33,7,2,0,56,none,0,0,1,0,0
3,UnwrapTrim,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,42,7,5,0,56,none,0,0,1,0,1
4,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,24,0,0,0,8624,none,0,0,0,0,1
5,This,1,PhpParser\Node\Stmt\Return_,none,55,0,0,0,0,none,0,0,0,0,0
6,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,51,0,0,0,0,none,0,0,0,0,0
7,This,1,PhpParser\Node\Stmt\Return_,none,64,0,0,0,1,none,0,0,0,0,0
8,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,60,0,0,0,12,none,0,0,0,0,1
9,This,1,PhpParser\Node\Stmt\Return_,none,73,0,0,0,0,none,0,0,0,0,0
10,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,69,0,0,0,0,none,0,0,0,0,0
11,CastBool,1,PhpParser\Node\Expr\Cast\Bool_,PhpParser\Node\Stmt\Expression,80,2,0,0,55,none,0,0,1,0,0
12,This,1,PhpParser\Node\Stmt\Return_,none,82,0,0,0,55,none,0,0,0,0,0
13,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,78,0,0,0,660,none,0,0,0,0,1
14,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,150,9,0,0,56,none,0,0,1,0,1
15,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,154,0,0,0,44,none,0,0,0,0,0
16,Continue_,1,PhpParser\Node\Stmt\Continue_,none,157,0,0,0,44,none,0,0,0,0,1
17,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,160,0,0,0,56,none,0,0,0,0,0
18,NotIdentical,2,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,160,9,0,0,56,none,0,0,1,0,1
19,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,164,0,0,0,1,none,0,0,0,0,1
20,OneZeroInteger,2,PhpParser\Node\Scalar\LNumber,none,164,0,0,0,1,none,0,0,0,0,1
21,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,166,0,0,0,1,none,0,0,0,0,1
22,OneZeroInteger,2,PhpParser\Node\Scalar\LNumber,none,166,0,0,0,1,none,0,0,0,0,1
23,DecrementInteger,7,PhpParser\Node\Scalar\LNumber,none,170,0,0,0,1,none,0,0,0,0,1
24,IncrementInteger,7,PhpParser\Node\Scalar\LNumber,none,170,0,0,0,1,none,0,0,0,0,1
25,MBString,7,PhpParser\Node\Expr\FuncCall,none,170,9,0,0,1,none,0,0,1,0,0
26,DecrementInteger,7,PhpParser\Node\Scalar\LNumber,none,170,0,0,0,1,none,0,0,0,0,0
27,IncrementInteger,7,PhpParser\Node\Scalar\LNumber,none,170,0,0,0,1,none,0,0,0,0,0
28,Modulus,7,PhpParser\Node\Expr\BinaryOp\Mod,none,170,9,0,0,1,none,0,0,1,0,0
29,Minus,7,PhpParser\Node\Expr\BinaryOp\Minus,none,170,9,0,0,1,none,0,0,1,0,0
