Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\Return_,18,1,0,0,151,none,0,0,0,0,0
1,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,48,0,0,0,0,none,0,0,0,0,0
2,NotIdentical,2,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,48,1,0,0,0,none,0,0,2,0,0
3,CastString,2,PhpParser\Node\Expr\Cast\String_,none,49,1,0,0,0,none,0,0,2,0,0
4,FunctionCallRemoval,2,PhpParser\Node\Stmt\Expression,none,49,0,0,0,0,none,0,0,0,0,0
5,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,24,0,0,0,1,none,0,0,0,0,1
6,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,17,0,0,0,152,none,0,0,0,0,1
7,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,16,0,0,0,151,none,0,0,0,0,1
8,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,28,0,0,0,28,none,0,0,0,0,1
9,FunctionCallRemoval,1,PhpParser\Node\Stmt\Expression,none,41,0,0,0,32,none,0,0,0,0,1
10,FunctionCallRemoval,1,PhpParser\Node\Stmt\Expression,none,53,0,0,0,3,none,0,0,0,0,1
11,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,17,0,0,0,151,none,0,0,0,0,1
12,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,53,2,0,0,142,none,0,0,1,0,1
13,Throw_,1,PhpParser\Node\Stmt\Throw_,none,54,0,0,0,1,none,0,0,0,0,1
14,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,81,4,0,0,145,none,0,0,2,0,1
15,Throw_,1,PhpParser\Node\Stmt\Throw_,none,82,0,0,0,1,none,0,0,0,0,1
16,NotIdentical,3,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,87,4,1,0,145,none,0,0,2,0,1
17,LogicalAnd,3,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,87,4,1,0,145,none,0,0,2,0,1
18,LogicalAnd,3,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,87,4,1,0,145,none,0,0,2,0,1
19,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,91,0,0,0,34,none,0,0,0,0,1
20,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,92,0,0,0,34,none,0,0,0,0,1
21,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,116,3,0,0,6,none,0,0,1,0,1
22,Throw_,1,PhpParser\Node\Stmt\Throw_,none,117,0,0,0,1,none,0,0,0,0,1
23,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,125,0,0,0,3,none,0,0,0,0,1
24,NotIdentical,2,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\Return_,156,1,0,0,6,none,0,0,1,0,1
25,LogicalAnd,2,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\Return_,156,1,0,0,6,none,0,0,1,0,1
26,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,180,0,0,0,1,none,0,0,0,0,1
27,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,188,0,0,0,1,none,0,0,0,0,1
28,Identical,4,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\Expression,34,1,0,0,0,none,0,0,1,1,0
29,ArrayItemRemoval,4,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,34,1,0,0,0,none,0,0,1,1,0
30,Ternary,4,PhpParser\Node\Expr\Ternary,PhpParser\Node\Stmt\Expression,34,1,0,0,0,none,0,0,1,1,0
31,UnwrapArrayFilter,4,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,34,1,0,0,308,none,0,0,1,1,1
32,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,46,0,0,0,27,none,0,0,0,0,1
33,NewObject,2,PhpParser\Node\Stmt\Return_,none,46,0,0,0,27,none,0,0,0,0,1
34,TrueValue,2,PhpParser\Node\Expr\ConstFetch,none,56,0,0,0,137,none,0,0,0,0,1
35,NewObject,2,PhpParser\Node\Stmt\Return_,none,56,0,0,0,137,none,0,0,0,0,1
36,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,28,0,0,0,155,none,0,0,0,0,1
37,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,42,1,0,0,550,none,0,0,1,0,1
38,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,61,0,0,0,33,none,0,0,0,0,1
39,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,60,1,0,0,67,none,0,0,2,0,1
40,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,75,0,0,0,3,none,0,0,0,0,1
41,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,74,1,0,0,6,none,0,0,1,0,1
42,NewObject,1,PhpParser\Node\Stmt\Return_,none,36,0,0,0,4,none,0,0,0,0,1
43,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,34,0,0,0,16,none,0,0,0,0,1
44,CastInt,1,PhpParser\Node\Expr\Cast\Int_,PhpParser\Node\Stmt\Return_,20,1,0,0,3,none,0,0,1,0,0
45,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,17,0,0,0,36,none,0,0,0,0,1
46,CastString,1,PhpParser\Node\Expr\Cast\String_,PhpParser\Node\Stmt\Return_,36,1,0,0,0,none,0,0,1,0,0
47,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,33,0,0,0,0,none,0,0,0,0,0
48,CastString,1,PhpParser\Node\Expr\Cast\String_,PhpParser\Node\Stmt\Return_,52,1,0,0,5,none,0,0,1,0,0
49,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,49,0,0,0,60,none,0,0,0,0,1
50,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,68,3,1,0,8,none,0,0,2,0,1
51,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\Return_,86,1,0,0,1,none,0,0,1,0,0
52,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,1,none,0,0,0,0,0
53,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,90,0,0,0,1,none,0,0,0,0,0
54,UnwrapSubstr,4,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,90,1,0,0,1,none,0,0,1,0,0
55,Identical,4,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\Return_,90,1,0,0,1,none,0,0,1,0,0
56,UnwrapArrayFilter,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,89,1,0,0,2,none,0,0,1,0,0
57,FunctionCall,2,PhpParser\Node\Stmt\Return_,none,89,0,0,0,2,none,0,0,0,0,1
58,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,19,0,0,0,12,none,0,0,0,0,1
59,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,45,0,0,0,12,none,0,0,0,0,1
60,NewObject,1,PhpParser\Node\Stmt\Return_,none,36,0,0,0,10,none,0,0,0,0,1
