Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,34,0,0,0,14,none,0,0,0,0,1
1,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,34,0,0,0,14,none,0,0,0,0,1
2,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,37,0,0,0,14,none,0,0,0,0,1
3,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,37,0,0,0,14,none,0,0,0,0,1
4,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,none,42,1,0,0,4,none,0,0,1,0,1
5,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,44,0,0,0,2,none,0,0,0,0,0
6,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,44,0,0,0,2,none,0,0,0,0,0
7,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,44,0,0,0,2,none,0,0,0,0,0
8,Throw_,4,PhpParser\Node\Stmt\Throw_,none,44,0,0,0,2,none,0,0,0,0,1
9,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,57,0,0,0,14,none,0,0,0,0,1
10,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,57,0,0,0,14,none,0,0,0,0,1
11,GreaterThan,4,PhpParser\Node\Expr\BinaryOp\Greater,none,59,1,0,0,3,none,0,0,1,0,0
12,GreaterThanNegotiation,4,PhpParser\Node\Expr\BinaryOp\Greater,none,59,1,0,0,3,none,0,0,1,0,1
13,LogicalNot,4,PhpParser\Node\Expr\BooleanNot,none,59,1,0,0,3,none,0,0,1,0,1
14,LogicalAnd,4,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,59,1,0,0,3,none,0,0,1,0,1
15,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,0
16,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,0
17,Identical,4,PhpParser\Node\Expr\BinaryOp\Identical,none,64,1,0,0,1,none,0,0,1,0,0
18,Ternary,4,PhpParser\Node\Expr\Ternary,none,64,1,0,0,1,none,0,0,1,0,0
19,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,67,0,0,0,1,none,0,0,0,0,0
20,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,67,0,0,0,1,none,0,0,0,0,0
21,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,67,0,0,0,1,none,0,0,0,0,0
22,Throw_,4,PhpParser\Node\Stmt\Throw_,none,67,0,0,0,1,none,0,0,0,0,1
23,InstanceOf_,7,PhpParser\Node\Expr\Instanceof_,none,35,0,0,0,15,none,0,0,0,0,1
24,InstanceOf_,7,PhpParser\Node\Expr\Instanceof_,none,35,0,0,0,15,none,0,0,0,0,1
25,InstanceOf_,7,PhpParser\Node\Expr\Instanceof_,none,35,0,0,0,15,none,0,0,0,0,0
26,InstanceOf_,7,PhpParser\Node\Expr\Instanceof_,none,35,0,0,0,15,none,0,0,0,0,1
27,LogicalAnd,7,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,35,1,0,0,15,none,0,0,1,0,1
28,Identical,7,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,35,1,0,0,15,none,0,0,1,0,1
29,LogicalAnd,7,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,35,1,0,0,15,none,0,0,1,0,1
30,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,36,0,0,0,2,none,0,0,0,0,0
31,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,36,0,0,0,2,none,0,0,0,0,0
32,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,36,0,0,0,2,none,0,0,0,0,0
33,Throw_,4,PhpParser\Node\Stmt\Throw_,none,36,0,0,0,2,none,0,0,0,0,1
34,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
35,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
36,LogicalNot,11,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,40,2,0,0,16,none,0,0,1,0,1
37,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
38,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
39,LogicalNot,11,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,40,2,0,0,16,none,0,0,1,0,1
40,LogicalAnd,11,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,40,2,0,0,16,none,0,0,1,0,1
41,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
42,InstanceOf_,11,PhpParser\Node\Expr\Instanceof_,none,40,0,0,0,16,none,0,0,0,0,1
43,LogicalNot,11,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,40,2,0,0,16,none,0,0,1,0,1
44,LogicalAnd,11,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,40,2,0,0,16,none,0,0,1,0,1
45,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,46,0,0,0,4,none,0,0,0,0,0
46,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,46,0,0,0,4,none,0,0,0,0,0
47,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,46,0,0,0,4,none,0,0,0,0,0
48,Throw_,4,PhpParser\Node\Stmt\Throw_,none,46,0,0,0,4,none,0,0,0,0,1
49,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,44,2,1,0,16,none,0,0,1,0,1
50,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,35,0,0,0,32,none,0,0,0,0,1
51,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,45,0,0,0,32,none,0,0,0,0,1
52,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,45,0,0,0,32,none,0,0,0,0,1
53,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,45,0,0,0,32,none,0,0,0,0,1
54,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,45,0,0,0,32,none,0,0,0,0,1
55,LogicalOr,5,PhpParser\Node\Expr\BinaryOp\BooleanOr,PhpParser\Node\Stmt\If_,45,1,0,0,32,none,0,0,1,0,1
56,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,46,0,0,0,8,none,0,0,0,0,1
57,InstanceOf_,4,PhpParser\Node\Expr\Instanceof_,none,47,0,0,0,32,none,0,0,0,0,1
58,InstanceOf_,4,PhpParser\Node\Expr\Instanceof_,none,47,0,0,0,32,none,0,0,0,0,1
59,LogicalNot,4,PhpParser\Node\Expr\BooleanNot,none,47,1,0,0,32,none,0,0,1,0,1
60,LogicalAnd,4,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,47,1,0,0,32,none,0,0,1,0,1
61,LogicalNot,5,PhpParser\Node\Expr\BooleanNot,none,52,1,0,0,16,none,0,0,1,0,1
62,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,52,0,0,0,16,none,0,0,0,0,1
63,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,52,0,0,0,16,none,0,0,0,0,1
64,LogicalNot,5,PhpParser\Node\Expr\BooleanNot,none,52,1,0,0,16,none,0,0,1,0,1
65,LogicalAnd,5,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,52,1,0,0,16,none,0,0,1,0,1
66,InstanceOf_,3,PhpParser\Node\Expr\Instanceof_,none,57,0,0,0,11,none,0,0,0,0,1
67,InstanceOf_,3,PhpParser\Node\Expr\Instanceof_,none,57,0,0,0,11,none,0,0,0,0,1
68,LogicalNot,3,PhpParser\Node\Expr\BooleanNot,none,57,1,0,0,11,none,0,0,1,0,1
69,UnwrapStrToLower,1,PhpParser\Node\Expr\FuncCall,none,61,1,0,0,10,none,0,0,1,0,0
70,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,62,1,0,0,10,none,0,0,1,0,1
71,DecrementInteger,4,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,8,none,0,0,0,0,0
72,IncrementInteger,4,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,8,none,0,0,0,0,0
73,OneZeroInteger,4,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,8,none,0,0,0,0,0
74,Throw_,4,PhpParser\Node\Stmt\Throw_,none,64,0,0,0,8,none,0,0,0,0,1
75,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,74,0,0,0,28,none,0,0,0,0,1
76,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,74,0,0,0,28,none,0,0,0,0,0
77,FalseValue,1,PhpParser\Node\Expr\ConstFetch,none,75,0,0,0,4,none,0,0,0,0,0
78,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,81,0,0,0,11,none,0,0,0,0,1
79,InstanceOf_,5,PhpParser\Node\Expr\Instanceof_,none,81,0,0,0,11,none,0,0,0,0,1
80,UnwrapStrToLower,5,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,81,1,0,0,11,none,0,0,1,0,1
81,Identical,5,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\Return_,81,1,0,0,11,none,0,0,1,0,1
