Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,31,3,0,0,1,PhpParser\Node\Identifier,0,0,2,1,1
1,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,32,3,0,0,1,PhpParser\Node\Identifier,0,0,2,1,1
2,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,49,12,2,0,2,PhpParser\Node\Identifier,0,0,1,0,1
3,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,50,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
4,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,54,12,4,0,2,PhpParser\Node\Identifier,0,0,1,0,1
5,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,55,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
6,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,59,12,6,0,2,PhpParser\Node\Identifier,0,0,1,0,1
7,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,60,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
8,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,64,12,8,0,2,PhpParser\Node\Identifier,0,0,1,0,1
9,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,65,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
10,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,69,12,10,0,2,PhpParser\Node\Identifier,0,0,1,0,0
11,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,70,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
12,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,71,12,0,0,2,PhpParser\Node\Identifier,0,0,1,0,1
13,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,82,0,0,0,144,none,0,0,0,0,0
14,ArrayItem,2,PhpParser\Node\Expr\ArrayItem,PhpParser\Node\Stmt\Expression,27,3,0,0,3,PhpParser\Node\Identifier,0,0,2,1,1
15,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,27,3,0,0,3,PhpParser\Node\Identifier,0,0,2,1,1
16,BitwiseOr,2,PhpParser\Node\Expr\BinaryOp\BitwiseOr,PhpParser\Node\Stmt\Return_,36,3,2,0,3,PhpParser\Node\Identifier,0,0,2,1,0
17,CastString,2,PhpParser\Node\Expr\Cast\String_,PhpParser\Node\Stmt\Return_,36,3,2,0,3,PhpParser\Node\Identifier,0,0,2,1,0
18,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,46,1,0,0,10,PhpParser\Node\Identifier,0,0,1,0,0
19,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,47,1,0,0,10,PhpParser\Node\Identifier,0,0,1,0,0
