Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,NewObject,1,PhpParser\Node\Stmt\Return_,none,52,0,0,0,8,none,0,0,0,0,1
1,NewObject,1,PhpParser\Node\Stmt\Return_,none,51,0,0,0,1,none,0,0,0,0,1
2,UnwrapArrayValues,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,35,3,0,0,4,none,0,0,1,0,1
3,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,38,0,0,0,4,none,0,0,0,0,1
4,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,40,0,0,0,8,none,0,0,0,0,1
5,UnwrapArrayValues,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,54,2,0,0,2,none,0,0,1,0,0
6,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,56,0,0,0,2,none,0,0,0,0,1
7,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,70,0,0,0,4,none,0,0,0,0,1
8,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,96,0,0,0,6,none,0,0,0,0,1
9,OneZeroInteger,2,PhpParser\Node\Scalar\LNumber,none,96,0,0,0,6,none,0,0,0,0,1
10,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,97,0,0,0,6,none,0,0,0,0,1
11,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,97,0,0,0,6,none,0,0,0,0,1
12,DecrementInteger,5,PhpParser\Node\Scalar\LNumber,none,97,0,0,0,6,none,0,0,0,0,1
13,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,97,0,0,0,6,none,0,0,0,0,1
14,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,97,0,0,0,6,none,0,0,0,0,1
15,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,98,0,0,0,6,none,0,0,0,0,1
16,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,98,0,0,0,6,none,0,0,0,0,1
17,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,98,0,0,0,6,none,0,0,0,0,1
18,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
19,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
20,OneZeroInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
21,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
22,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
23,OneZeroInteger,6,PhpParser\Node\Scalar\LNumber,none,99,0,0,0,6,none,0,0,0,0,1
24,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,100,0,0,0,6,none,0,0,0,0,1
25,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,100,0,0,0,6,none,0,0,0,0,1
26,DecrementInteger,5,PhpParser\Node\Scalar\LNumber,none,101,0,0,0,6,none,0,0,0,0,1
27,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,101,0,0,0,6,none,0,0,0,0,1
28,DecrementInteger,5,PhpParser\Node\Scalar\LNumber,none,101,0,0,0,6,none,0,0,0,0,1
29,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,101,0,0,0,6,none,0,0,0,0,1
30,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,101,0,0,0,6,none,0,0,0,0,1
31,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,94,0,0,0,378,none,0,0,0,0,0
32,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,36,3,1,0,12,none,0,0,1,0,1
33,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,45,0,0,0,2,none,0,0,0,0,1
34,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,57,0,0,0,2,none,0,0,0,0,1
35,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,57,0,0,0,2,none,0,0,0,0,1
36,NotIdentical,3,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,57,4,0,0,2,none,0,0,1,0,1
37,Throw_,1,PhpParser\Node\Stmt\Throw_,none,58,0,0,0,1,none,0,0,0,0,1
38,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,1
39,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,1
40,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,1
41,DecrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
42,IncrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
43,DecrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
44,IncrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
45,UnwrapSubstr,24,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,64,4,2,0,1,none,0,0,1,0,1
46,DecrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
47,IncrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
48,DecrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
49,IncrementInteger,24,PhpParser\Node\Scalar\LNumber,none,64,0,0,0,1,none,0,0,0,0,1
50,UnwrapSubstr,24,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,64,4,2,0,1,none,0,0,1,0,1
