Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,41,2,0,0,1,none,0,0,1,0,1
1,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,39,0,0,0,16,none,0,0,0,0,0
2,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Return_,60,1,0,0,1,none,0,0,1,0,1
3,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,58,0,0,0,4,none,0,0,0,0,0
4,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,80,0,0,0,0,none,0,0,0,0,0
5,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,80,0,0,0,0,none,0,0,0,0,0
6,OneZeroInteger,6,PhpParser\Node\Scalar\LNumber,none,80,0,0,0,0,none,0,0,0,0,0
7,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,80,0,0,0,0,none,0,0,0,0,0
8,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,80,0,0,0,0,none,0,0,0,0,0
9,ArrayItemRemoval,6,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,80,4,0,0,0,none,0,0,2,0,0
10,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,82,4,1,0,0,none,0,0,2,0,0
11,Throw_,1,PhpParser\Node\Stmt\Throw_,none,83,0,0,0,0,none,0,0,0,0,0
12,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,86,4,2,0,0,none,0,0,2,0,0
13,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,75,0,0,0,0,none,0,0,0,0,0
14,DecrementInteger,2,PhpParser\Node\Scalar\LNumber,none,106,0,0,0,0,none,0,0,0,0,0
15,IncrementInteger,2,PhpParser\Node\Scalar\LNumber,none,106,0,0,0,0,none,0,0,0,0,0
16,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,104,0,0,0,0,none,0,0,0,0,0
17,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,121,0,0,0,0,none,0,0,0,0,0
18,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,121,0,0,0,0,none,0,0,0,0,0
19,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,121,0,0,0,0,none,0,0,0,0,0
20,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,119,0,0,0,0,none,0,0,0,0,0
21,FalseValue,4,PhpParser\Node\Expr\ConstFetch,none,54,0,0,0,2,none,0,0,0,0,1
22,FalseValue,4,PhpParser\Node\Expr\ConstFetch,none,54,0,0,0,2,none,0,0,0,0,1
23,TrueValue,4,PhpParser\Node\Expr\ConstFetch,none,54,0,0,0,2,none,0,0,0,0,1
24,UnwrapArrayMerge,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,56,2,0,0,1,none,0,0,4,0,1
