Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
0,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,22,4,0,0,4,none,0,0,2,0,1
1,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,23,4,0,0,4,none,0,0,2,0,0
2,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,24,4,0,0,4,none,0,0,2,0,1
3,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,25,4,0,0,4,none,0,0,2,0,1
4,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,21,4,1,0,4,none,0,0,2,0,1
5,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,35,4,0,0,0,none,0,0,2,0,0
6,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,36,4,0,0,0,none,0,0,2,0,0
7,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,37,4,0,0,0,none,0,0,2,0,0
8,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,38,4,0,0,0,none,0,0,2,0,0
9,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,39,4,0,0,0,none,0,0,2,0,0
10,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,34,4,0,0,0,none,0,0,2,0,0
11,Foreach_,1,PhpParser\Node\Stmt\Foreach_,none,32,4,0,0,0,none,0,0,2,0,0
12,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,18,0,0,0,210,none,0,0,0,0,1
13,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,55,9,3,0,1,none,0,0,1,0,0
14,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,56,9,4,0,1,none,0,0,1,0,0
15,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,57,9,5,0,1,none,0,0,1,0,1
16,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,59,9,6,0,1,none,0,0,1,0,1
17,Minus,6,PhpParser\Node\Expr\BinaryOp\Minus,none,61,9,0,0,1,none,0,0,1,0,0
18,DecrementInteger,6,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,0
19,IncrementInteger,6,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,0
20,OneZeroInteger,6,PhpParser\Node\Scalar\LNumber,none,61,0,0,0,1,none,0,0,0,0,0
21,Minus,6,PhpParser\Node\Expr\BinaryOp\Minus,none,61,9,0,0,1,none,0,0,1,0,0
22,Assignment,6,PhpParser\Node\Expr\AssignOp\Concat,none,61,9,0,0,1,none,0,0,1,0,1
23,Ternary,2,PhpParser\Node\Expr\Ternary,none,62,9,0,0,1,none,0,0,1,0,0
24,Assignment,2,PhpParser\Node\Expr\AssignOp\Concat,none,62,9,0,0,1,none,0,0,1,0,1
25,LogicalAnd,3,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,63,9,0,0,1,none,0,0,1,0,0
26,Ternary,3,PhpParser\Node\Expr\Ternary,none,63,9,0,0,1,none,0,0,1,0,0
27,Assignment,3,PhpParser\Node\Expr\AssignOp\Concat,none,63,9,0,0,1,none,0,0,1,0,1
28,Ternary,2,PhpParser\Node\Expr\Ternary,none,64,9,0,0,1,none,0,0,1,0,0
29,Assignment,2,PhpParser\Node\Expr\AssignOp\Concat,none,64,9,0,0,1,none,0,0,1,0,1
30,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,65,9,0,0,1,none,0,0,1,0,1
31,Ternary,2,PhpParser\Node\Expr\Ternary,none,66,9,0,0,1,none,0,0,1,0,0
32,Assignment,2,PhpParser\Node\Expr\AssignOp\Concat,none,66,9,0,0,1,none,0,0,1,0,1
33,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,67,9,0,0,1,none,0,0,1,0,1
34,CastInt,2,PhpParser\Node\Expr\Cast\Int_,none,68,9,0,0,1,none,0,0,1,0,0
35,Assignment,2,PhpParser\Node\Expr\AssignOp\Concat,none,68,9,0,0,1,none,0,0,1,0,1
36,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,60,9,7,0,9,none,0,0,1,0,0
37,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,49,0,0,0,408,none,0,0,0,0,1
38,FalseValue,2,PhpParser\Node\Expr\ConstFetch,none,46,0,0,0,10,none,0,0,0,0,1
39,PregMatchMatches,1,PhpParser\Node\Expr\FuncCall,none,58,0,0,0,2,none,0,0,0,0,0
40,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,59,0,0,0,0,none,0,0,0,0,0
41,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,59,0,0,0,0,none,0,0,0,0,0
42,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,59,0,0,0,0,none,0,0,0,0,0
43,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,60,0,0,0,0,none,0,0,0,0,0
44,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,60,0,0,0,0,none,0,0,0,0,0
45,CastInt,3,PhpParser\Node\Expr\Cast\Int_,none,60,5,0,0,0,none,0,0,1,0,0
